Temperature,Simulations,Return,Discounted Return,Map
1,47,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,40,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,81,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,36,0,1.0,0.8709180316048211,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,95,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,95,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,30,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,84,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FFHF', 'HHHG']"
1,49,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHHG']"
1,60,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HHFG']"
1,40,0,1.0,0.9193151828650342,"['SHHF', 'FFFH', 'FFFF', 'FHFG']"
1,61,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,91,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,77,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,11,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HHHF', 'HFHF', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFHF', 'HHHG']"
1,53,0,1.0,0.8657003616774767,"['SFFH', 'HHFH', 'HFFH', 'HHFG']"
1,56,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,29,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'FFHF', 'FFFG']"
1,10,0,1.0,0.90289112180858,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9388545698794984,"['SHHF', 'FFFH', 'FHHH', 'FFFG']"
1,25,0,1.0,0.860513950810667,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,54,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,20,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,52,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FHHF', 'HHFG']"
1,86,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'FHFH', 'FFFG']"
1,46,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HHHF', 'FFHG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,29,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHH', 'HFFG']"
1,49,0,1.0,0.9248559951318693,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,86,0,1.0,0.9645880999032158,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,74,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,27,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,60,0,1.0,0.93603800616986,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,52,0,1.0,0.9276389118674717,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,60,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,10,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,17,0,1.0,0.7607805594527743,"['SFFF', 'HHHF', 'HHHF', 'HHFG']"
1,40,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,74,0,1.0,0.9332298921513504,"['SHFH', 'FFFH', 'HFFF', 'FHFG']"
1,44,0,1.0,0.7863441585589971,"['SFFH', 'HFHF', 'HFFH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,12,0,1.0,0.7910835400474212,"['SFFF', 'FFHH', 'HFFH', 'HFFG']"
