Temperature,Simulations,Return,Discounted Return,Map
1,34,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,72,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'HHFF', 'FFHG']"
1,59,0,1.0,0.9193151828650342,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,77,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,34,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,70,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,51,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,36,0,1.0,0.7816331707050701,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFHF', 'HFFG']"
1,59,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,21,0,1.0,0.798246224976786,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,46,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,28,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,51,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,43,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,94,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HHFF', 'HHHG']"
1,27,0,1.0,0.7746195551602378,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,92,0,1.0,0.8275513922024125,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FHFH', 'FHHF', 'FFFG']"
1,20,0,1.0,0.9248559951318693,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,85,0,1.0,0.8974819010978248,"['SHHH', 'FFFF', 'FFFH', 'HHFG']"
1,36,0,1.0,0.8054737627981655,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFHG']"
1,66,0,1.0,0.9445131481500655,"['SHHH', 'FFFF', 'HHFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,41,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FHHH', 'FFFG']"
1,94,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,42,0,1.0,0.9001824484431542,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,14,0,1.0,0.9530650263643888,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,44,0,1.0,0.8814479033836181,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,44,0,1.0,0.9445131481500655,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,59,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,94,0,1.0,0.9502058312852957,"['SFHF', 'HFFH', 'HFHF', 'HFFG']"
1,84,0,1.0,0.9616943356035061,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,46,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,81,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,34,0,1.0,0.8788035596734672,"['SFHH', 'FFFH', 'HHFH', 'FHFG']"
1,98,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,37,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHFF', 'HHHG']"
1,23,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'FHHG']"
1,13,0,1.0,0.9001824484431542,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,20,0,1.0,0.9416796087056153,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9704017769489168,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
