Temperature,Simulations,Return,Discounted Return,Map
1,93,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.9674905716180701,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,48,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,68,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,96,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,29,0,0.0,0.0,"['SHFH', 'FHFH', 'FHHF', 'FFFG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'FHFG']"
1,42,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
1,51,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'HHFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,81,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HFFG']"
1,43,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'FFFG']"
1,31,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,93,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHHF', 'FFFG']"
1,41,0,1.0,0.9388545698794984,"['SFFF', 'FFHH', 'HFFH', 'HFFG']"
1,58,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,43,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,86,0,1.0,0.9165572373164391,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,24,0,1.0,0.93603800616986,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,72,0,1.0,0.8527925358961662,"['SHHH', 'FFHH', 'HFFF', 'HHFG']"
1,97,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,97,0,1.0,0.9276389118674717,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,84,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FFHF', 'FFFG']"
1,93,0,1.0,0.8735386475474635,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,29,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'HFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFH', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFF', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,60,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,34,0,1.0,0.8054737627981655,"['SFFH', 'FHFH', 'HFFH', 'FHFG']"
1,29,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,77,0,1.0,0.8921050870283477,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,85,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,29,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,65,0,1.0,0.9616943356035061,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,23,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,55,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,16,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9645880999032158,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'HFHG']"
1,53,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,45,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,85,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HFFG']"
1,29,0,1.0,0.8683052775100066,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,47,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FFFG']"
1,23,0,1.0,0.9733217421754432,"['SHFF', 'FHFH', 'FFFH', 'FFFG']"
1,38,0,1.0,0.8631032605924442,"['SHHF', 'FHFH', 'FFFF', 'HHFG']"
1,25,0,1.0,0.7449472384453084,"['SFHH', 'HFHF', 'FFFH', 'HFFG']"
1,49,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHFG']"
1,88,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,53,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HHFF', 'FFHG']"
