Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,65,0,1.0,0.9559328248389055,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,48,0,1.0,0.7584982177744161,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,10,0,1.0,0.9165572373164391,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,52,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,49,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,77,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,62,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,62,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FFHG']"
1,69,0,1.0,0.8735386475474635,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,2,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,30,0,1.0,0.835044266956004,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,53,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FFFF', 'FHFG']"
1,34,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'FFHG']"
1,81,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'FFFH', 'FFFG']"
1,57,0,1.0,0.9791880578299021,"['SFHF', 'FHFH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.8894287717672626,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,45,0,1.0,0.9588092525966956,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,89,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,73,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHHH', 'FFFG']"
1,34,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,7,0,1.0,0.8325391341551359,"['SFFF', 'FFHH', 'HFFH', 'HFFG']"
1,36,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,44,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HHHG']"
1,94,0,1.0,0.8275513922024125,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,60,0,1.0,0.9733217421754432,"['SHFF', 'FFHH', 'FFFH', 'HFFG']"
1,23,0,1.0,0.9110661429076764,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,64,0,1.0,0.93603800616986,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFHF', 'FFFG']"
1,53,0,1.0,0.9220814271464737,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,97,0,1.0,0.8814479033836181,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,31,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,14,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,84,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,72,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,90,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'HFFF', 'HHFG']"
1,83,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,29,0,1.0,0.8894287717672626,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,12,0,1.0,0.79346393184295,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
1,74,0,1.0,0.9276389118674717,"['SFHF', 'HFFH', 'FFHF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
