Temperature,Simulations,Return,Discounted Return,Map
1,33,0,1.0,0.78398512608332,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,19,0,1.0,0.8657003616774767,"['SFHH', 'FFHF', 'HFFF', 'FHFG']"
1,87,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,17,0,1.0,0.8054737627981655,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,17,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,88,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,38,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HHFH', 'HFFG']"
1,42,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HFFG']"
1,66,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,33,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,18,0,1.0,0.90289112180858,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,60,0,1.0,0.8657003616774767,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,68,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,29,0,1.0,0.8400771692771434,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,27,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,65,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFHF', 'FHHG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,42,0,1.0,0.9138075656044898,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,94,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,19,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,69,0,1.0,0.8300415167526705,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
1,45,0,1.0,0.776950406379376,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'FFFG']"
1,52,0,1.0,0.9332298921513504,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,89,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,99,0,1.0,0.8894287717672626,"['SHHH', 'FFFF', 'HFFH', 'FHFG']"
1,74,0,1.0,0.9674905716180701,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,35,0,1.0,0.8683052775100066,"['SFHH', 'FFFH', 'HFHH', 'HFFG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,12,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,96,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,36,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9762504936564125,"['SFHF', 'FHHH', 'FFHH', 'FFFG']"
1,27,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FFHF', 'FFHG']"
1,73,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,61,0,1.0,0.9762504936564125,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,8,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,54,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,14,0,1.0,0.8788035596734672,"['SFFH', 'HHFF', 'FFHF', 'FHFG']"
1,46,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,77,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FFFH', 'FHFG']"
1,56,0,1.0,0.8631032605924442,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,29,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,87,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,23,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,34,0,1.0,0.8006481694852418,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,72,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FHHF', 'FFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,18,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'HHHG']"
1,63,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,93,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,65,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHHF', 'FHHG']"
1,44,0,1.0,0.9645880999032158,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,57,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFHF', 'HFFG']"
