Temperature,Simulations,Return,Discounted Return,Map
1,98,0,1.0,0.9762504936564125,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,32,0,1.0,0.8657003616774767,"['SFFF', 'HFHH', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,57,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HHFG']"
1,14,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,83,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,20,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FFFH', 'FHFG']"
1,33,0,1.0,0.9110661429076764,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'FHFG']"
1,80,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,83,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,45,0,1.0,0.7562227231210928,"['SHHF', 'FFHH', 'HFFF', 'HFFG']"
1,56,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,81,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,71,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,59,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'HFFH', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'HFFF', 'HFFG']"
1,29,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,20,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHHF', 'HFHG']"
1,96,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHFG']"
1,64,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,67,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HHHG']"
1,90,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,80,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,48,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,66,0,1.0,0.8426049842298329,"['SFFH', 'HFHH', 'FFHF', 'HFFG']"
1,42,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'HFFG']"
1,48,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,12,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,24,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,52,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,49,0,1.0,0.8275513922024125,"['SFFF', 'FHFF', 'FHFH', 'HHFG']"
1,78,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,51,0,1.0,0.8657003616774767,"['SFHH', 'HFFH', 'FFHF', 'HFFG']"
1,95,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,71,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
