Temperature,Simulations,Return,Discounted Return,Map
1,75,0,1.0,0.9276389118674717,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,92,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFFF', 'FHHG']"
1,79,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,29,0,1.0,0.8867604854519608,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,32,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,33,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,24,0,1.0,0.8974819010978248,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,49,0,1.0,0.9193151828650342,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,14,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,49,0,1.0,0.9083329444789534,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HHHG']"
1,40,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,15,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,63,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,96,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FHFF', 'HHHG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,30,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FFHG']"
1,36,0,1.0,0.7887102894272789,"['SHFF', 'FFHH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,80,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,67,0,1.0,0.9733217421754432,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,19,0,1.0,0.8325391341551359,"['SFFF', 'FFHF', 'FFHF', 'FHFG']"
1,40,0,1.0,0.9588092525966956,"['SHHH', 'FFHF', 'FFFH', 'FHFG']"
1,51,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,55,0,1.0,0.9704017769489168,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,65,0,1.0,0.8078974551636565,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,35,0,1.0,0.8103284404851119,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,54,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,45,0,1.0,0.860513950810667,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,47,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,65,0,1.0,0.8300415167526705,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
