Temperature,Simulations,Return,Discounted Return,Map
1,44,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HFHF', 'HHHG']"
1,95,0,1.0,0.90289112180858,"['SFHF', 'HFFH', 'FHFH', 'FHFG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,62,0,1.0,0.9304302024748964,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FFHH', 'FFFG']"
1,23,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,18,0,1.0,0.9138075656044898,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,99,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,57,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,50,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HFHF', 'HHFG']"
1,3,0,0.0,0.0,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.7562227231210928,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,5,0,1.0,0.8974819010978248,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,79,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,70,0,1.0,0.9332298921513504,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,25,0,1.0,0.8426049842298329,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,48,0,1.0,0.8476834558136123,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,95,0,1.0,0.8735386475474635,"['SHHH', 'FHFF', 'FFHF', 'HFFG']"
1,86,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,38,0,1.0,0.79346393184295,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,15,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,31,0,1.0,0.8006481694852418,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,28,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFHG']"
1,40,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,56,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFH', 'FHFG']"
1,37,0,1.0,0.7449472384453084,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,68,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,83,0,1.0,0.9416796087056153,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,53,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFH', 'FHFG']"
1,98,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFFH', 'HFFG']"
1,49,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHHF', 'FFHG']"
1,59,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFH', 'FHFG']"
1,69,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,13,0,0.0,0.0,"['SFHH', 'FFFH', 'HFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
1,21,0,1.0,0.9276389118674717,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,28,0,1.0,0.93603800616986,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,26,0,1.0,0.7722956964947572,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,79,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,58,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,99,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,50,0,1.0,0.9791880578299021,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,12,0,1.0,0.8176653739626438,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9220814271464737,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,92,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,39,0,1.0,0.8657003616774767,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,29,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,87,0,1.0,0.9791880578299021,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,79,0,1.0,0.985089730404757,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,96,0,1.0,0.803057341509771,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,68,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,80,0,1.0,0.9138075656044898,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,16,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
