Temperature,Simulations,Return,Discounted Return,Map
1,95,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,61,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHH', 'HFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'FFFH', 'FHHH', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FFFF', 'HFFG']"
1,35,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,28,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,90,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'FHFG']"
1,96,0,1.0,0.93603800616986,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,29,0,1.0,0.8176653739626438,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,89,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'FFHF', 'HHFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,26,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,77,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,61,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,73,0,1.0,0.9388545698794984,"['SHFH', 'FFHH', 'FFHF', 'HFFG']"
1,93,0,1.0,0.9645880999032158,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,95,0,1.0,0.9332298921513504,"['SFHH', 'FFHH', 'HFFH', 'HFFG']"
1,20,0,1.0,0.8947894553945313,"['SFFH', 'HFFF', 'FHHF', 'FFFG']"
1,37,0,1.0,0.9674905716180701,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,23,0,1.0,0.8921050870283477,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,82,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,6,0,1.0,0.8300415167526705,"['SFFF', 'FHHF', 'HHFF', 'FFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'HHFG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,26,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,51,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,67,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,52,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HHFF', 'FFFG']"
1,55,0,1.0,0.9332298921513504,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,61,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,89,0,1.0,0.8867604854519608,"['SFHH', 'HFFH', 'HHFF', 'HHHG']"
