Temperature,Simulations,Return,Discounted Return,Map
1,54,0,1.0,0.8631032605924442,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,47,0,1.0,0.9704017769489168,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.8657003616774767,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFH', 'FFFG']"
1,99,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HFFF', 'HFFG']"
1,36,0,1.0,0.93603800616986,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,90,0,1.0,0.8974819010978248,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,11,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HFFF', 'HHHG']"
1,79,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,81,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,35,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HHFF', 'HHFG']"
1,64,0,1.0,0.8006481694852418,"['SFHH', 'HFHF', 'HFHH', 'HFFG']"
1,25,0,1.0,0.8947894553945313,"['SFHH', 'FHFH', 'FFHF', 'FFFG']"
1,45,0,1.0,0.9762504936564125,"['SFFF', 'FHHH', 'FFHH', 'FFFG']"
1,82,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,52,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,86,0,1.0,0.8527925358961662,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,16,0,1.0,0.747188804859888,"['SFFF', 'HFHF', 'HHHF', 'HFHG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,40,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,50,0,1.0,0.8176653739626438,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,17,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HHFF', 'HFFG']"
1,68,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HHFG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,63,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,77,0,1.0,0.7562227231210928,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,57,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,99,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'HHHG']"
1,62,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,9,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,43,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,55,0,1.0,0.8451404054461714,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,48,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'FHFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,3,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,50,0,1.0,0.9388545698794984,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,56,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,53,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,45,0,1.0,0.8078974551636565,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,68,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,45,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,41,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFH', 'FHFG']"
1,1,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HHFG']"
1,82,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,16,0,1.0,0.9332298921513504,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,46,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,30,0,1.0,0.8709180316048211,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,88,0,1.0,0.9110661429076764,"['SHFH', 'FHHF', 'FFFF', 'FFHG']"
1,55,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,36,0,1.0,0.9056079456455165,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,65,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HHHG']"
1,76,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,42,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HHFF', 'FFHG']"
1,32,0,1.0,0.9473552137914398,"['SFHF', 'FFHF', 'FFFF', 'HHHG']"
1,46,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,59,0,1.0,0.8006481694852418,"['SHHF', 'FFHH', 'HFFF', 'HHFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HHHG']"
1,93,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFHF', 'FFHG']"
1,38,0,1.0,0.9165572373164391,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,39,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,73,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,96,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,42,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,45,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'HFFF', 'FHHG']"
