Temperature,Simulations,Return,Discounted Return,Map
1,24,0,1.0,0.9220814271464737,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,72,0,1.0,0.9762504936564125,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9332298921513504,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'FFHH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,46,0,1.0,0.9645880999032158,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'FHHH', 'FFFG']"
1,28,0,0.0,0.0,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,32,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,32,0,1.0,0.9616943356035061,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,32,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9645880999032158,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HHHG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,78,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'HFFG']"
1,61,0,1.0,0.884100203995605,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,47,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HFHG']"
1,34,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,11,0,1.0,0.8451404054461714,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,38,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,76,0,1.0,0.9138075656044898,"['SFFF', 'HHFH', 'FFFF', 'FFFG']"
1,97,0,1.0,0.9304302024748964,"['SHFH', 'FFHF', 'FHHF', 'FFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHF', 'FFFG']"
1,65,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'HFFF', 'HHFG']"
1,33,0,0.0,0.0,"['SFFH', 'HFFF', 'FHFH', 'HHFG']"
1,8,0,1.0,0.8400771692771434,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,92,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'HHFF', 'FHFG']"
1,14,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,44,0,1.0,0.9332298921513504,"['SHHF', 'FFFH', 'FFFF', 'HHFG']"
1,77,0,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HFHF', 'FHHG']"
1,88,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HHHG']"
1,25,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,15,0,1.0,0.9001824484431542,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,90,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,26,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,97,0,1.0,0.9304302024748964,"['SFFF', 'HFFH', 'FHFF', 'HFHG']"
1,74,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHFH', 'HFFG']"
1,73,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,43,0,1.0,0.9138075656044898,"['SFFF', 'HHFH', 'FHFF', 'HHHG']"
1,94,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,65,0,1.0,0.7449472384453084,"['SHFH', 'FHFF', 'FFHF', 'HFFG']"
1,27,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,28,0,1.0,0.835044266956004,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFHF', 'FFHG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FHFF', 'FFFG']"
1,41,0,1.0,0.9416796087056153,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,85,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,67,0,1.0,0.9165572373164391,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'HFHG']"
1,18,0,1.0,0.9165572373164391,"['SHHH', 'FFHH', 'FHFF', 'FFFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFFF', 'HHFG']"
1,52,0,1.0,0.8814479033836181,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,41,0,1.0,0.9138075656044898,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,25,0,1.0,0.7494371162085136,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,92,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HFFF', 'HFFG']"
1,59,0,1.0,0.8631032605924442,"['SFHH', 'FFFF', 'HFHF', 'FHFG']"
1,74,0,1.0,0.9762504936564125,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,94,0,1.0,0.9704017769489168,"['SFHH', 'HFHH', 'FFHH', 'FFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHHG']"
1,12,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,69,0,1.0,0.7516921927868743,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,61,0,1.0,0.9056079456455165,"['SFHF', 'HFFH', 'HHFF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,25,0,0.0,0.0,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,82,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,18,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHF', 'HFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,6,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,75,0,1.0,0.9304302024748964,"['SFHH', 'HFHH', 'FFFF', 'FFHG']"
1,32,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,21,0,1.0,0.8054737627981655,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,55,0,1.0,0.9056079456455165,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,71,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,54,0,1.0,0.8921050870283477,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,15,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
1,59,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,83,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,51,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'HHFG']"
1,57,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFH', 'FHFG']"
1,49,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFHG']"
1,7,0,1.0,0.8006481694852418,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,58,0,1.0,0.9165572373164391,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'HHFG']"
1,30,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,27,0,1.0,0.7699788094052729,"['SFHF', 'HFHH', 'FFFF', 'FFHG']"
1,99,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,88,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,7,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FHFF', 'FHHF', 'FFFG']"
1,53,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'HFFG']"
1,37,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFF', 'FHHG']"
1,36,0,1.0,0.9762504936564125,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,96,0,1.0,0.93603800616986,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,51,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HHHG']"
1,39,0,1.0,0.7887102894272789,"['SFFF', 'HFFH', 'HFHF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHH', 'HFFG']"
1,44,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'HFHH', 'HFFH', 'FFFG']"
1,26,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHHF', 'HHFG']"
1,98,0,1.0,0.884100203995605,"['SHFH', 'FFFF', 'HFHF', 'FHFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,29,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,99,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'HHFH', 'FFFG']"
1,88,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFF', 'HFFG']"
1,50,0,1.0,0.9791880578299021,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,89,0,1.0,0.93603800616986,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
