Temperature,Simulations,Return,Discounted Return,Map
1,7,0,1.0,0.7449472384453084,"['SFFF', 'HFHF', 'HFHF', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,21,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,57,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,63,0,1.0,0.8921050870283477,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,60,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HFFG']"
1,95,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,66,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,36,0,1.0,0.93603800616986,"['SFFH', 'HFHF', 'FFFH', 'FFFG']"
1,53,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFFF', 'HHFG']"
1,23,0,1.0,0.7958514863018556,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,56,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,93,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'HFFF', 'FFFG']"
1,20,0,1.0,0.9193151828650342,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,64,0,1.0,0.9821344612135428,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,48,0,1.0,0.8657003616774767,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,28,0,1.0,0.8921050870283477,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FHHG']"
1,40,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,11,0,1.0,0.8476834558136123,"['SFFF', 'FFHF', 'HHFF', 'HHFG']"
1,46,0,1.0,0.8476834558136123,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,45,0,1.0,0.776950406379376,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,50,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,86,0,1.0,0.857932408958235,"['SFFH', 'FFHH', 'HFFF', 'FHHG']"
1,68,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,7,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FHHF', 'HHHG']"
1,97,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FFFF', 'FHFG']"
1,100,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
