Temperature,Simulations,Return,Discounted Return,Map
1,93,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,82,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHF', 'HFFG']"
1,47,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,85,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,18,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'HFHF', 'FFHG']"
1,47,0,1.0,0.8325391341551359,"['SFHF', 'HFFF', 'HHHF', 'HHFG']"
1,26,0,1.0,0.9165572373164391,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHHF', 'FHHG']"
1,73,0,1.0,0.9645880999032158,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HHHG']"
1,12,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
1,76,0,1.0,0.8974819010978248,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,71,0,1.0,0.9645880999032158,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,62,0,1.0,0.9616943356035061,"['SFHF', 'HFHH', 'FFFH', 'FFFG']"
1,53,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'HHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HFFG']"
1,71,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFHF', 'HHHG']"
1,53,0,1.0,0.9445131481500655,"['SHFF', 'FFFF', 'HHHF', 'FHFG']"
1,56,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FFHG']"
1,40,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,14,0,1.0,0.90289112180858,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,20,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FFHH', 'FFFG']"
1,76,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,59,0,1.0,0.9530650263643888,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,74,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'HFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHHG']"
1,31,0,1.0,0.9220814271464737,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,57,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,76,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'FFFH', 'HHFG']"
