Temperature,Simulations,Return,Discounted Return,Map
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,100,0,1.0,0.9473552137914398,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,19,0,1.0,0.7722956964947572,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,30,0,1.0,0.9138075656044898,"['SFHH', 'FFFF', 'FHFF', 'HFFG']"
1,38,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'FFHG']"
1,73,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,19,0,1.0,0.8867604854519608,"['SFFH', 'HHFH', 'HFFF', 'FHFG']"
1,65,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,60,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,24,0,1.0,0.835044266956004,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,32,0,1.0,0.9193151828650342,"['SFFH', 'HHFH', 'HFFF', 'FFFG']"
1,65,0,1.0,0.9616943356035061,"['SFHH', 'FHFH', 'FHHF', 'FFFG']"
1,99,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'HFFF', 'FFFG']"
1,93,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'HFFF', 'FFFG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,90,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,81,0,1.0,0.8921050870283477,"['SFHF', 'FFFH', 'HHFF', 'HHFG']"
1,39,0,1.0,0.9138075656044898,"['SHHH', 'FHHF', 'FFHH', 'FFFG']"
1,87,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,16,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,90,0,1.0,0.9821344612135428,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9416796087056153,"['SFHH', 'FHHF', 'FFFF', 'HHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HHFG']"
1,80,0,1.0,0.9645880999032158,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,25,0,1.0,0.9276389118674717,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'FHFG']"
1,34,0,1.0,0.9083329444789534,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,23,0,1.0,0.8325391341551359,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,73,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,30,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FHFF', 'HFHG']"
1,50,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,8,0,1.0,0.8947894553945313,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,42,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,2,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HFFG']"
1,38,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,60,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,55,0,1.0,0.7449472384453084,"['SHHF', 'FFFF', 'HHFF', 'HHFG']"
1,88,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,89,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,70,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HFFF', 'HHFG']"
1,13,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,78,0,1.0,0.9559328248389055,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,49,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,42,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'HFHG']"
1,74,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'HHFH', 'FFFG']"
1,24,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,68,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,44,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFFH', 'HHFG']"
1,57,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HFHF', 'HFFG']"
1,90,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,58,0,1.0,0.8867604854519608,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,56,0,1.0,0.9193151828650342,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HFHG']"
1,79,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.835044266956004,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,62,0,1.0,0.8683052775100066,"['SHFF', 'FFHH', 'HFFF', 'HHFG']"
1,66,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,90,0,1.0,0.7722956964947572,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,59,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,48,0,1.0,0.9733217421754432,"['SFFH', 'HFHF', 'HFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,74,0,1.0,0.9001824484431542,"['SHHF', 'FFFF', 'HHHF', 'FFHG']"
1,10,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,55,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,35,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHH', 'HFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,44,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,51,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
1,65,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,29,0,1.0,0.90289112180858,"['SFHF', 'FFHF', 'HFFF', 'HHFG']"
1,94,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FHHF', 'FHHG']"
1,92,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,97,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,31,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9056079456455165,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,64,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'FHHF', 'HHHG']"
1,37,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,94,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,94,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHHG']"
1,75,0,1.0,0.9616943356035061,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,82,0,1.0,0.8054737627981655,"['SHHH', 'FHFF', 'FFFH', 'HHFG']"
1,48,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFF', 'HHHG']"
1,47,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,94,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,8,0,1.0,0.798246224976786,"['SFFF', 'HFHF', 'FFHF', 'HFHG']"
