Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return
500,0.008742349222302437,-0.010504795238375664,0.007674236316233873,-0.013701396994292736,85,312.0
500,0.017862269654870033,-0.01926509663462639,0.014603644609451294,-0.04176907613873482,78,446.0
500,0.01620803028345108,0.02390241250395775,-0.033279433846473694,-0.03744514659047127,30,500.0
500,0.005653798580169678,-0.0004873654106631875,0.04300631210207939,0.02450706623494625,54,500.0
500,-0.017805589362978935,0.03506100922822952,-0.04653787240386009,-0.038835085928440094,60,500.0
500,0.0034819284919649363,-0.027153443545103073,0.014503234066069126,0.04533753916621208,43,356.0
500,0.003249973291531205,-0.04686817154288292,-0.02830987051129341,0.03962568938732147,95,297.0
500,0.02885252982378006,-0.04440378397703171,0.0018884089076891541,0.035110581666231155,94,390.0
500,-0.0021377820521593094,-0.025050722062587738,0.0017877090722322464,-0.02299819327890873,24,337.0
500,0.02458433248102665,-0.01121021993458271,0.017788290977478027,0.03348679840564728,59,500.0
