Temperature,Simulations,Return,Discounted Return,Map
1,64,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFF', 'HHHG']"
1,25,0,1.0,0.8502341582884777,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,30,0,1.0,0.9502058312852957,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,76,0,1.0,0.9083329444789534,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,74,0,1.0,0.9762504936564125,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,84,0,1.0,0.9674905716180701,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,93,0,1.0,0.93603800616986,"['SFFF', 'FHFH', 'HFFF', 'HFHG']"
1,21,0,1.0,0.7910835400474212,"['SFFH', 'HFFF', 'HHHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,18,0,1.0,0.8325391341551359,"['SFHH', 'HFFH', 'FFHF', 'FFFG']"
1,36,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'FFHG']"
1,83,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,11,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,99,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,32,0,1.0,0.9704017769489168,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,67,0,1.0,0.79346393184295,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,37,0,1.0,0.860513950810667,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,42,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'HFHG']"
1,91,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,59,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'FHFF', 'FHHG']"
1,24,0,1.0,0.884100203995605,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,87,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFH', 'FHFG']"
1,58,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,98,0,1.0,0.8709180316048211,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'FFHG']"
1,79,0,1.0,0.9001824484431542,"['SFFH', 'HHFF', 'FFHF', 'FHHG']"
1,95,0,1.0,0.9332298921513504,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
