Temperature,Simulations,Return,Discounted Return
1,22,1.0,0.9445131481500655
1,44,1.0,0.884100203995605
1,88,1.0,0.985089730404757
1,75,1.0,0.9445131481500655
1,75,1.0,0.9616943356035061
1,94,1.0,0.9416796087056153
1,90,1.0,0.985089730404757
1,16,1.0,0.7816331707050701
1,26,1.0,0.8527925358961662
1,25,1.0,0.9388545698794984
1,6,0.0,0.0
1,51,1.0,0.9791880578299021
1,9,0.0,0.0
1,18,1.0,0.9165572373164391
1,76,1.0,0.9821344612135428
1,94,1.0,0.9473552137914398
1,27,1.0,0.8176653739626438
1,35,1.0,0.9704017769489168
1,44,1.0,0.8078974551636565
1,30,1.0,0.8426049842298329
1,6,0.0,0.0
1,69,1.0,0.9704017769489168
1,42,1.0,0.8657003616774767
1,80,1.0,0.9821344612135428
1,75,1.0,0.9821344612135428
1,15,0.0,0.0
1,20,0.0,0.0
1,29,1.0,0.8974819010978248
1,65,1.0,0.9416796087056153
1,60,1.0,0.93603800616986
1,64,1.0,0.9645880999032158
1,5,0.0,0.0
1,6,0.0,0.0
1,50,1.0,0.985089730404757
1,31,1.0,0.8709180316048211
1,87,1.0,0.93603800616986
1,55,1.0,0.9248559951318693
1,73,1.0,0.9704017769489168
1,22,1.0,0.884100203995605
1,14,0.0,0.0
1,12,1.0,0.7958514863018556
1,90,1.0,0.9791880578299021
1,93,1.0,0.9762504936564125
1,22,1.0,0.8225935318117279
1,32,1.0,0.9473552137914398
1,82,1.0,0.9530650263643888
1,84,1.0,0.9821344612135428
1,18,1.0,0.9083329444789534
1,53,1.0,0.9138075656044898
1,43,1.0,0.7958514863018556
1,18,1.0,0.8867604854519608
1,51,1.0,0.9248559951318693
1,79,1.0,0.9674905716180701
1,6,0.0,0.0
1,96,1.0,0.9502058312852957
1,88,1.0,0.9791880578299021
1,76,1.0,0.985089730404757
1,39,1.0,0.985089730404757
1,22,1.0,0.8709180316048211
1,5,0.0,0.0
1,7,0.0,0.0
1,96,1.0,0.9821344612135428
1,56,1.0,0.9304302024748964
1,99,1.0,0.9791880578299021
1,58,1.0,0.9502058312852957
1,52,1.0,0.9762504936564125
1,16,1.0,0.9473552137914398
1,91,1.0,0.9733217421754432
1,33,1.0,0.8788035596734672
1,48,1.0,0.9445131481500655
1,56,1.0,0.9138075656044898
1,31,1.0,0.9530650263643888
1,31,1.0,0.9083329444789534
1,100,1.0,0.9332298921513504
1,37,1.0,0.8250687380258053
1,72,1.0,0.9674905716180701
1,39,1.0,0.9138075656044898
1,82,1.0,0.9588092525966956
1,28,1.0,0.9559328248389055
1,60,1.0,0.9616943356035061
1,6,0.0,0.0
1,13,0.0,0.0
1,34,1.0,0.860513950810667
1,45,1.0,0.9704017769489168
1,84,1.0,0.9616943356035061
1,45,1.0,0.8921050870283477
1,45,1.0,0.8527925358961662
1,58,1.0,0.9502058312852957
1,76,1.0,0.9791880578299021
1,48,1.0,0.8631032605924442
1,75,1.0,0.9473552137914398
1,29,1.0,0.9791880578299021
1,73,1.0,0.9001824484431542
1,38,1.0,0.79346393184295
1,91,1.0,0.9645880999032158
1,25,0.0,0.0
1,81,1.0,0.9165572373164391
1,68,1.0,0.9821344612135428
1,63,1.0,0.93603800616986
1,19,1.0,0.8867604854519608
1,84,1.0,0.93603800616986
1,87,1.0,0.9473552137914398
1,63,1.0,0.9388545698794984
1,27,1.0,0.9502058312852957
1,51,1.0,0.9704017769489168
1,2,0.0,0.0
1,82,1.0,0.9821344612135428
1,55,1.0,0.93603800616986
1,60,1.0,0.9791880578299021
1,19,1.0,0.9559328248389055
1,56,1.0,0.9388545698794984
1,77,1.0,0.9762504936564125
1,30,1.0,0.8974819010978248
1,88,1.0,0.9193151828650342
1,26,1.0,0.8152123778407558
1,1,0.0,0.0
1,44,1.0,0.9001824484431542
1,12,0.0,0.0
1,21,0.0,0.0
1,27,1.0,0.9304302024748964
1,20,1.0,0.9304302024748964
1,52,1.0,0.9056079456455165
1,44,1.0,0.8553586117313603
1,100,1.0,0.9674905716180701
1,8,0.0,0.0
1,79,1.0,0.9733217421754432
1,82,1.0,0.9674905716180701
1,25,0.0,0.0
1,49,1.0,0.9733217421754432
1,96,1.0,0.9762504936564125
1,17,1.0,0.8894287717672626
1,97,1.0,0.9791880578299021
1,41,1.0,0.8502341582884777
1,97,1.0,0.9791880578299021
1,94,1.0,0.9473552137914398
1,43,1.0,0.985089730404757
1,19,1.0,0.7699788094052729
1,67,1.0,0.9645880999032158
1,52,1.0,0.9248559951318693
1,93,1.0,0.9674905716180701
1,10,0.0,0.0
1,65,1.0,0.985089730404757
1,74,1.0,0.9791880578299021
1,79,1.0,0.9559328248389055
1,62,1.0,0.9674905716180701
1,66,1.0,0.8814479033836181
1,95,1.0,0.9473552137914398
1,85,1.0,0.9791880578299021
1,6,0.0,0.0
1,50,1.0,0.93603800616986
1,91,1.0,0.9791880578299021
1,48,1.0,0.9704017769489168
1,61,1.0,0.9791880578299021
1,71,1.0,0.985089730404757
1,73,1.0,0.9821344612135428
1,20,1.0,0.9220814271464737
1,90,1.0,0.9733217421754432
1,1,0.0,0.0
1,27,1.0,0.8788035596734672
1,74,1.0,0.9733217421754432
1,47,1.0,0.9445131481500655
1,14,1.0,0.8078974551636565
1,19,1.0,0.8709180316048211
1,5,0.0,0.0
1,82,1.0,0.9791880578299021
1,81,1.0,0.9821344612135428
1,81,1.0,0.9645880999032158
1,59,1.0,0.8814479033836181
1,17,1.0,0.747188804859888
1,14,0.0,0.0
1,86,1.0,0.9674905716180701
1,8,0.0,0.0
