Temperature,Simulations,Return,Discounted Return,Map
1,91,0,1.0,0.8867604854519608,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,32,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,47,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'FHFG']"
1,49,0,1.0,0.884100203995605,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,64,0,1.0,0.9276389118674717,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
1,44,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'HFHF', 'HFFG']"
1,32,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,99,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,94,0,1.0,0.9502058312852957,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,72,0,1.0,0.9248559951318693,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,42,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,100,0,1.0,0.8078974551636565,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,81,0,1.0,0.9332298921513504,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,29,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,45,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,45,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9416796087056153,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHH', 'HFFG']"
1,100,0,1.0,0.8735386475474635,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,69,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,87,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHF', 'FFFG']"
1,59,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,62,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,88,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
1,50,0,1.0,0.9704017769489168,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'HFHG']"
1,95,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,50,0,1.0,0.837556937769312,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,89,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,60,0,1.0,0.9530650263643888,"['SFHH', 'FFHH', 'HFHF', 'HFFG']"
1,43,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'HHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,76,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,27,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,86,0,1.0,0.7746195551602378,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,46,0,1.0,0.9083329444789534,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,9,0,1.0,0.8527925358961662,"['SFFF', 'HFFF', 'FFFH', 'FFFG']"
1,45,0,1.0,0.9733217421754432,"['SHFF', 'FHFF', 'FFHH', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,48,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,45,0,1.0,0.9165572373164391,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,87,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHFF', 'HFFG']"
1,70,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,73,0,1.0,0.8947894553945313,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,85,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHFH', 'HHFG']"
1,86,0,1.0,0.9502058312852957,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'HHFG']"
1,48,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'HHFF', 'HFFG']"
1,60,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HFHG']"
1,3,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,63,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,82,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFFF', 'HHHG']"
1,65,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,62,0,1.0,0.8152123778407558,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,97,0,1.0,0.798246224976786,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,69,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHHF', 'HHFG']"
1,27,0,1.0,0.9332298921513504,"['SHHH', 'FFFH', 'FFFF', 'HFHG']"
1,27,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,47,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,38,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,31,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,53,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,25,0,1.0,0.9248559951318693,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,39,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,96,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,82,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HHHG']"
1,24,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HHFG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,27,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,37,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FFFG']"
1,15,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'HHFF', 'FFHG']"
1,21,0,1.0,0.8325391341551359,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,19,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,39,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFFF', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,40,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FFHF', 'HHFG']"
1,12,0,1.0,0.8103284404851119,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,27,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,27,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,64,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,56,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.8078974551636565,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,81,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
