Temperature,Simulations,Return,Discounted Return,Map
1,97,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FHFG']"
1,68,0,1.0,0.884100203995605,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,26,0,1.0,0.9733217421754432,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,17,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,81,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HHFG']"
1,80,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,20,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,48,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'HFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FHHG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,21,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,39,0,1.0,0.9193151828650342,"['SFHF', 'FHFH', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,48,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,19,0,1.0,0.884100203995605,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,49,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,98,0,1.0,0.93603800616986,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,85,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HFHF', 'HHHG']"
1,38,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,3,0,1.0,0.78398512608332,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,32,0,1.0,0.9445131481500655,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,39,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,55,0,1.0,0.837556937769312,"['SFHF', 'HFFF', 'FHHF', 'HHFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
1,73,0,1.0,0.90289112180858,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,13,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'FFHG']"
1,51,0,1.0,0.9193151828650342,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,61,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,86,0,1.0,0.9645880999032158,"['SHFH', 'FHHF', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFF', 'FHHG']"
1,29,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,19,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,63,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HHFG']"
1,48,0,1.0,0.9056079456455165,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,84,0,1.0,0.8657003616774767,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,88,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,74,0,1.0,0.9388545698794984,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,48,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,38,0,1.0,0.9445131481500655,"['SFHH', 'FFFH', 'FFHH', 'HFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,48,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,33,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'FFHF', 'FHFG']"
1,72,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,94,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,82,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,58,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,60,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,29,0,1.0,0.860513950810667,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,27,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHF', 'FFFG']"
1,81,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,63,0,1.0,0.8974819010978248,"['SHHF', 'FFFH', 'HFFH', 'FFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,30,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,41,0,1.0,0.9530650263643888,"['SFHH', 'FHFH', 'FFHF', 'FFFG']"
1,72,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,71,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HFFF', 'HHFG']"
