Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9502058312852957,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFHF', 'FHFG']"
1,43,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,55,0,1.0,0.9332298921513504,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,72,0,1.0,0.9704017769489168,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,78,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,18,0,1.0,0.9473552137914398,"['SFHF', 'FFHF', 'HFFF', 'HFFG']"
1,71,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,72,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,34,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,64,0,1.0,0.8250687380258053,"['SFHF', 'HFHH', 'HFFF', 'HFHG']"
1,30,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,77,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,85,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,64,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,31,0,1.0,0.9445131481500655,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,27,0,1.0,0.9733217421754432,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,40,0,1.0,0.835044266956004,"['SFFF', 'HFFF', 'HHFH', 'HFFG']"
1,39,0,0.0,0.0,"['SFFF', 'FHHF', 'FFFH', 'HHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,5,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,36,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,4,0,1.0,0.9304302024748964,"['SFFF', 'HFFF', 'FHFF', 'FFHG']"
1,15,0,1.0,0.8788035596734672,"['SFFH', 'HFFF', 'FHHF', 'FFFG']"
1,83,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'FHFF', 'HFFG']"
1,90,0,1.0,0.857932408958235,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,13,0,1.0,0.9110661429076764,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,90,0,1.0,0.7539540549517295,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,63,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FFFF', 'HFFG']"
1,92,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFHH', 'FFFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,59,0,1.0,0.9616943356035061,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,23,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FFFF', 'FHFG']"
1,58,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FFFF', 'FHFG']"
1,15,0,1.0,0.8476834558136123,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HHFG']"
1,88,0,1.0,0.9473552137914398,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,78,0,1.0,0.9473552137914398,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,44,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHHF', 'FHFG']"
1,100,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,22,0,1.0,0.7494371162085136,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,22,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,62,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,73,0,1.0,0.860513950810667,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,30,0,1.0,0.9304302024748964,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,71,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,11,0,1.0,0.8103284404851119,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,59,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HFFH', 'FHFG']"
1,95,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,62,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,86,0,1.0,0.9110661429076764,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,59,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,96,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'HFFF', 'HFFG']"
1,68,0,1.0,0.9304302024748964,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,33,0,1.0,0.8225935318117279,"['SFFH', 'HHFF', 'HHFF', 'HHHG']"
1,6,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'FFFG']"
1,29,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFHG']"
1,67,0,1.0,0.9304302024748964,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,77,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
1,31,0,1.0,0.8426049842298329,"['SFFH', 'FHFH', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9083329444789534,"['SFHH', 'HFFH', 'HHFH', 'HHFG']"
1,86,0,1.0,0.7562227231210928,"['SHFF', 'FFFF', 'HHFH', 'FHFG']"
1,21,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,60,0,1.0,0.9332298921513504,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,70,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FHFF', 'FFHG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,86,0,1.0,0.8814479033836181,"['SFHH', 'FFFF', 'HFHF', 'FHHG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'FHHG']"
1,27,0,1.0,0.8400771692771434,"['SHFH', 'FFFF', 'HFHF', 'FFFG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,25,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,21,0,1.0,0.8275513922024125,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHFG']"
1,22,0,1.0,0.7863441585589971,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFH', 'FFHH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFHF', 'FHHH', 'FHHF', 'FFFG']"
1,47,0,1.0,0.9616943356035061,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,22,0,0.0,0.0,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,45,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'FFHF', 'HHHG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHFG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,49,0,1.0,0.8947894553945313,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,37,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,32,0,1.0,0.93603800616986,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,91,0,1.0,0.9220814271464737,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,45,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,39,0,1.0,0.8974819010978248,"['SFFH', 'HFFH', 'FHFF', 'HHFG']"
1,8,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,23,0,1.0,0.9445131481500655,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,77,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,75,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,92,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFH', 'HFFG']"
1,36,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,26,0,1.0,0.90289112180858,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9304302024748964,"['SHHF', 'FFFH', 'FHFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,81,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHHG']"
1,43,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'FFHG']"
1,91,0,1.0,0.9762504936564125,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFH', 'HFFG']"
1,26,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,46,0,1.0,0.9248559951318693,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
