Temperature,Simulations,Return,Discounted Return,Map
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,30,0,1.0,0.7958514863018556,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FFHG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,98,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'FFFG']"
1,36,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,87,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFH', 'FHFG']"
1,82,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,90,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'FFHH', 'FHHH', 'FFFG']"
1,45,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,20,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHH', 'FFFG']"
1,44,0,1.0,0.9248559951318693,"['SFFH', 'FHFH', 'HFFH', 'FHFG']"
1,81,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,26,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFFF', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.8814479033836181,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
