Temperature,Map,Simulations,Return,Discounted Return
1,"['SFHHF', 'FFFHH', 'HFHHF', 'FFFFH', 'HFHFG']",82,0.0,0.0
1,"['SFFFH', 'FHHFH', 'HHFFH', 'HHHFF', 'HHFHG']",54,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFH', 'FFFFH', 'FFFFG']",72,1.0,0.9445131481500655
1,"['SHFFH', 'FFFHF', 'FFHFF', 'HFFFH', 'HFHFG']",3,0.0,0.0
1,"['SFFFH', 'FFFFF', 'FHFHF', 'FFHFF', 'FFFFG']",58,1.0,0.9193151828650342
1,"['SFFFF', 'HFFFF', 'HFFFH', 'FFFFF', 'HFHFG']",21,1.0,0.8502341582884777
1,"['SFFFH', 'HHHFF', 'HHHHF', 'FFFHF', 'FFHHG']",57,0.0,0.0
1,"['SFFHF', 'FHHHH', 'FFFFH', 'HHHFF', 'HHHFG']",51,0.0,0.0
1,"['SFFHH', 'FFHFF', 'HFFHF', 'FFFFF', 'FFFFG']",4,0.0,0.0
1,"['SFFFH', 'FHFFF', 'FFFFF', 'FFFFF', 'FHFFG']",49,1.0,0.9674905716180701
1,"['SFFFF', 'FHHFF', 'FHFFH', 'HFFFF', 'HFFFG']",71,1.0,0.9001824484431542
1,"['SFFFF', 'HFFFF', 'FFFHH', 'FFFFF', 'HFFHG']",8,0.0,0.0
1,"['SFFHH', 'HHFHF', 'FHFHF', 'FFFFH', 'FHFFG']",74,0.0,0.0
1,"['SHFHF', 'FFHHH', 'HFHHH', 'HFHHH', 'FFFFG']",28,0.0,0.0
1,"['SFHFF', 'FHHHF', 'FFFFF', 'FFFFF', 'HHFHG']",96,0.0,0.0
1,"['SFFFF', 'FFHFF', 'FHFFF', 'FFFHF', 'FHFHG']",40,1.0,0.9473552137914398
1,"['SFFFF', 'HHHHF', 'HFHHF', 'HHHHF', 'HHHHG']",85,1.0,0.9762504936564125
1,"['SHFFH', 'FHHFH', 'FHHHF', 'FHHFF', 'FFFFG']",99,0.0,0.0
1,"['SFHHH', 'FFFFF', 'HFHFH', 'HFFHF', 'FHFFG']",8,0.0,0.0
1,"['SFFHF', 'FHFFF', 'HHHFH', 'HFHFH', 'FHFFG']",64,0.0,0.0
1,"['SFFFF', 'HHHFH', 'HFHFF', 'HFHHF', 'HFFFG']",100,1.0,0.9220814271464737
1,"['SHFHH', 'FFHFH', 'FHHHH', 'FFFHH', 'FHFFG']",15,0.0,0.0
1,"['SFHHF', 'FHHFH', 'FFFFF', 'HHFFF', 'HHHFG']",40,0.0,0.0
1,"['SFFFF', 'FFHHH', 'HFHFH', 'HFHHH', 'FFFFG']",27,0.0,0.0
1,"['SFHHH', 'FFFHF', 'HHFHH', 'HHFFH', 'HFHFG']",5,0.0,0.0
1,"['SFHFH', 'HFHHH', 'HFFFH', 'HHHFH', 'HHHFG']",43,0.0,0.0
1,"['SHHFH', 'FFFHH', 'HHFFH', 'HHFHH', 'FHFFG']",17,0.0,0.0
1,"['SFHFH', 'HFFFH', 'FHHFF', 'FHFHF', 'HHFHG']",81,0.0,0.0
1,"['SFHHF', 'HFFFH', 'HFFFF', 'FHHHF', 'HHFHG']",49,0.0,0.0
1,"['SHHHH', 'FFFHH', 'HHFFH', 'HHFFH', 'HFFFG']",48,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FHHFF', 'FFFHF', 'FFHFG']",13,0.0,0.0
1,"['SFFHF', 'HHFHH', 'FHFFF', 'HHFFF', 'FHHFG']",15,0.0,0.0
1,"['SFHFF', 'FFFFF', 'FFFFH', 'FFFFF', 'FFFFG']",69,1.0,0.9762504936564125
1,"['SFFHH', 'HHFFH', 'HHFFH', 'FHFFF', 'FFHFG']",72,1.0,0.9502058312852957
1,"['SHFFF', 'FHFHH', 'FFHFF', 'FFFFF', 'HFFFG']",41,0.0,0.0
1,"['SFFHH', 'HHFHH', 'HHFFF', 'HHHHF', 'HHHHG']",48,0.0,0.0
1,"['SFHHF', 'HFHHH', 'HFFHF', 'HFFFH', 'FHHFG']",82,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFF', 'FFFFF', 'FHFFG']",50,1.0,0.9559328248389055
1,"['SHFHF', 'FFHFH', 'FFFFH', 'FFFFF', 'FHFFG']",62,0.0,0.0
1,"['SHHHF', 'FFFFF', 'FHFFF', 'HHHHF', 'FFHFG']",12,0.0,0.0
1,"['SHHFF', 'FHFFF', 'FHHHH', 'FHFFH', 'FFFFG']",93,0.0,0.0
1,"['SFFHF', 'FFFFF', 'FFHFH', 'FHFFF', 'HFFFG']",47,0.0,0.0
1,"['SFFFF', 'FFFFH', 'FFFFF', 'FFHFF', 'FFHFG']",18,1.0,0.8250687380258053
1,"['SHFFF', 'FHFFH', 'FFHHF', 'FFFFF', 'FFFFG']",9,0.0,0.0
1,"['SFHFF', 'FFFFF', 'FFHHF', 'FFFHF', 'HFFFG']",24,0.0,0.0
1,"['SFFFH', 'FFFFF', 'FFHFF', 'FFFFH', 'FFFFG']",59,1.0,0.9616943356035061
1,"['SFFFF', 'FFHHF', 'FHHFF', 'FFHHH', 'FFFFG']",76,1.0,0.8814479033836181
1,"['SFFFF', 'FHFHF', 'FFFFF', 'HHHFF', 'HHHFG']",15,1.0,0.8631032605924442
1,"['SFHHF', 'FFFFF', 'HFFHH', 'HFFFF', 'HHHFG']",95,0.0,0.0
1,"['SFFHH', 'HFHHH', 'FFHFH', 'FFFHH', 'HHFFG']",4,0.0,0.0
1,"['SFFHF', 'HHFFH', 'FFHFH', 'HFHFH', 'HHHFG']",73,0.0,0.0
1,"['SFHHF', 'HFHHH', 'HFFFH', 'HHHFH', 'HHHFG']",83,0.0,0.0
1,"['SHFFH', 'FHHHH', 'FHHHF', 'FFFFF', 'FFFFG']",61,1.0,0.9704017769489168
1,"['SHFFH', 'FFFFH', 'FHFHH', 'HHFHH', 'HFFFG']",62,0.0,0.0
1,"['SFFHF', 'FHFFF', 'HHFHH', 'FFFHH', 'HFFFG']",91,0.0,0.0
1,"['SFFHF', 'FFHHH', 'FHHFH', 'FFFFF', 'FFHFG']",10,0.0,0.0
1,"['SFFFF', 'HFHFH', 'FFFFF', 'HFHFH', 'FFHFG']",95,0.0,0.0
1,"['SFFHH', 'FFFFH', 'FFFFF', 'FFFFF', 'FFFFG']",6,1.0,0.8325391341551359
1,"['SFFHH', 'FHFFF', 'FHHFF', 'FFFFF', 'HFHFG']",82,1.0,0.9388545698794984
1,"['SFHFH', 'FFHFH', 'HFHHF', 'FFFFF', 'FFHHG']",40,0.0,0.0
1,"['SFFFF', 'FFFFH', 'FFFFF', 'FFFFF', 'FFFFG']",39,1.0,0.9445131481500655
1,"['SHHHH', 'FFFFH', 'HFFFF', 'HFFFF', 'HHFHG']",64,0.0,0.0
1,"['SHHFF', 'FFHFH', 'HFFHH', 'HFFFH', 'HHFFG']",86,0.0,0.0
1,"['SFFHH', 'HFHHF', 'FFFFF', 'FHHHF', 'FHFHG']",32,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FHHFH', 'FFFFF', 'FFHHG']",16,0.0,0.0
1,"['SFHHF', 'FFHFF', 'FFFFF', 'HHHFH', 'HHHFG']",21,0.0,0.0
1,"['SFFFH', 'FHFHH', 'HFFHF', 'HFFFF', 'HHHHG']",47,0.0,0.0
1,"['SFHHF', 'FFHFF', 'FHHHF', 'FFHHH', 'HFFFG']",44,0.0,0.0
1,"['SFFHF', 'FHFFF', 'FFFFF', 'FFFFF', 'FHFFG']",77,1.0,0.9791880578299021
1,"['SFFFF', 'FFFHF', 'FHHFF', 'FFFFH', 'FFHFG']",99,0.0,0.0
1,"['SHFHH', 'FFFFF', 'FFFFF', 'FFFFF', 'FFFFG']",58,1.0,0.9559328248389055
1,"['SFFHH', 'FFHFF', 'FFFFF', 'FHHFF', 'FFHFG']",34,0.0,0.0
1,"['SFHFF', 'FHHHH', 'FFFFF', 'HHFHF', 'FFFHG']",76,0.0,0.0
1,"['SFHFF', 'HFHFF', 'FFFFF', 'FFFFF', 'FFHFG']",46,1.0,0.8683052775100066
1,"['SFHHH', 'HFFFH', 'FHFHH', 'FFFFF', 'FHHFG']",85,0.0,0.0
1,"['SHHFF', 'FFHFF', 'FFFFF', 'HFFFH', 'FHHFG']",61,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFHH', 'FFFFF', 'FHFFG']",65,1.0,0.9791880578299021
1,"['SHHHF', 'FFFFF', 'FFHFH', 'FFFFF', 'HFHFG']",16,0.0,0.0
1,"['SFFFH', 'FFHFF', 'FFFHF', 'FFHFF', 'FFFFG']",73,1.0,0.9645880999032158
1,"['SFHHH', 'HFFHH', 'HHFHH', 'HFFFF', 'HHHHG']",100,0.0,0.0
1,"['SHHHH', 'FFHHF', 'HFFFF', 'HHFHF', 'HFHHG']",91,0.0,0.0
1,"['SHHHH', 'FFFHH', 'HFHHH', 'FFHHH', 'HFFFG']",60,0.0,0.0
1,"['SFHFH', 'FHFHH', 'FFHHH', 'HFFHH', 'FFFFG']",98,0.0,0.0
1,"['SFFFH', 'FHFFH', 'FHFHH', 'HFFFH', 'HFHFG']",60,0.0,0.0
1,"['SFFFF', 'FHFFH', 'FFHFF', 'FFFFF', 'FFFFG']",27,1.0,0.9559328248389055
1,"['SFFFH', 'FFFHF', 'FFFFF', 'FFHFF', 'HFFFG']",19,0.0,0.0
1,"['SFFHF', 'HFFFF', 'FHHFF', 'HFHHF', 'FHHHG']",87,1.0,0.93603800616986
1,"['SHFHF', 'FFFHH', 'FHFHH', 'HFFFF', 'FHHHG']",37,0.0,0.0
1,"['SHHHH', 'FFHHF', 'FHHHH', 'FFFFH', 'FFHFG']",37,0.0,0.0
1,"['SFFFF', 'HHHHF', 'HHHHF', 'HHFFF', 'HHFHG']",5,0.0,0.0
1,"['SFFFH', 'FFHHF', 'FFFHF', 'FHFFH', 'HFFFG']",66,0.0,0.0
1,"['SFFHH', 'FHHHH', 'FFHHF', 'FFFFF', 'HHHHG']",27,0.0,0.0
1,"['SFFFH', 'HFHFF', 'FFHHF', 'HHHHF', 'FHHHG']",100,1.0,0.884100203995605
1,"['SFHFH', 'FFFHF', 'FHFFH', 'FFHFF', 'FFHFG']",95,0.0,0.0
1,"['SHFFH', 'FFFFH', 'HHFHH', 'HFFFF', 'HFHHG']",20,0.0,0.0
