Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FFFH', 'FFFG']"
1,30,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHHG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,19,0,1.0,0.7630697687590515,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,63,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,46,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFFF', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FHFH', 'FFFG']"
1,77,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FHFF', 'FHFG']"
1,78,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,41,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,45,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,65,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,69,0,1.0,0.8275513922024125,"['SFFF', 'HHFH', 'FFFF', 'HFHG']"
1,72,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,96,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,38,0,1.0,0.9502058312852957,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,26,0,1.0,0.9616943356035061,"['SFHF', 'FFFH', 'HFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHF', 'HFFG']"
1,63,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,70,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
1,99,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HFHG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,61,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HHFF', 'FFFG']"
1,94,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,91,0,1.0,0.9110661429076764,"['SFHF', 'FFFF', 'HHHF', 'FHHG']"
1,8,0,1.0,0.8761671489944468,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,47,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,48,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,23,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,20,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFH', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HHHG']"
1,30,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,54,0,1.0,0.9821344612135428,"['SHFF', 'FHFH', 'FFFH', 'FFFG']"
1,39,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'FHFG']"
1,33,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,6,0,1.0,0.8974819010978248,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,49,0,1.0,0.9416796087056153,"['SFFF', 'FFHH', 'FFHF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
1,80,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,95,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,81,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,56,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'HFFG']"
1,72,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,58,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,13,0,1.0,0.8657003616774767,"['SFFF', 'FHHF', 'FHHF', 'FFHG']"
1,28,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,17,0,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,82,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,71,0,1.0,0.9332298921513504,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'FHHG']"
1,22,0,1.0,0.9193151828650342,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,5,0,1.0,0.8683052775100066,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,82,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,68,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,20,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,16,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,32,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,62,0,1.0,0.884100203995605,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFHF', 'FHHG']"
1,45,0,1.0,0.8325391341551359,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,62,0,1.0,0.9193151828650342,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,54,0,1.0,0.9616943356035061,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFH', 'HHFG']"
1,27,0,1.0,0.8867604854519608,"['SHHH', 'FFFH', 'HFFF', 'FFHG']"
1,74,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,82,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'HHHF', 'HHFG']"
1,22,0,1.0,0.9220814271464737,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,77,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'HHFG']"
1,57,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,18,0,1.0,0.8426049842298329,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,78,0,1.0,0.9588092525966956,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,68,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,36,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HHHF', 'HHFG']"
1,92,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,87,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HFHF', 'FFHG']"
1,15,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,87,0,1.0,0.9110661429076764,"['SHFH', 'FFFF', 'FHHF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'FFFG']"
1,83,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,42,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,68,0,1.0,0.9588092525966956,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,87,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,86,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'HHFH', 'HFFG']"
1,58,0,1.0,0.9056079456455165,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
