Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,67,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,97,0,1.0,0.9276389118674717,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,40,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
1,15,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHFF', 'FFHG']"
1,29,0,1.0,0.9083329444789534,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,24,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,62,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'FHHG']"
1,87,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,83,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FFFH', 'HHFG']"
1,32,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHHF', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,94,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,59,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,100,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,43,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,68,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFHG']"
1,60,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,39,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FFHG']"
1,94,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,65,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,34,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HHFH', 'FHFG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HHFG']"
1,88,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,30,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFH', 'FHFF', 'FFFG']"
1,34,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HHFG']"
1,81,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,64,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,50,0,1.0,0.9248559951318693,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,92,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FHHF', 'FFFG']"
1,13,0,1.0,0.7699788094052729,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,91,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,19,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,79,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FHFF', 'HFHG']"
1,58,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHHG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HHFF', 'HFFG']"
1,15,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,91,0,1.0,0.9248559951318693,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,92,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FFHF', 'HHHG']"
1,35,0,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,34,0,1.0,0.8325391341551359,"['SHFH', 'FFFF', 'HFFF', 'FHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.9001824484431542,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,92,0,1.0,0.9056079456455165,"['SFFH', 'HHFH', 'FHFH', 'FHFG']"
1,6,0,1.0,0.9193151828650342,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,98,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFH', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFFG']"
1,45,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,61,0,1.0,0.8476834558136123,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,16,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,46,0,1.0,0.8894287717672626,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,84,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,98,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,99,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FHFH', 'FFHH', 'HFFG']"
1,64,0,1.0,0.8761671489944468,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,66,0,1.0,0.9083329444789534,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,61,0,1.0,0.7607805594527743,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,99,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'HHFF', 'HHHG']"
1,58,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9248559951318693,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,87,0,0.0,0.0,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,61,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,46,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'FHFG']"
1,45,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHHF', 'FFFH', 'HHFG']"
1,88,0,1.0,0.857932408958235,"['SFHF', 'FHHF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,66,0,1.0,0.93603800616986,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,94,0,1.0,0.8788035596734672,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,52,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HFHF', 'HFHG']"
1,75,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,59,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,6,0,1.0,0.8152123778407558,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,50,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,56,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFFF', 'HFHG']"
1,39,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FHFG']"
1,21,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,49,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHF', 'HFFG']"
1,90,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,98,0,1.0,0.9332298921513504,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,21,0,1.0,0.798246224976786,"['SFFF', 'FHHF', 'HHHF', 'HHFG']"
1,86,0,1.0,0.9791880578299021,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,20,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,47,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,84,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,44,0,1.0,0.9220814271464737,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,23,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.8761671489944468,"['SFHF', 'FFFF', 'HHHF', 'FFHG']"
1,64,0,1.0,0.9530650263643888,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,77,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,31,0,1.0,0.8451404054461714,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
