Temperature,Simulations,Return,Discounted Return,Map
1,91,0,1.0,0.8974819010978248,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,97,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,34,0,1.0,0.8814479033836181,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,86,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,50,0,1.0,0.9616943356035061,"['SHHF', 'FHFF', 'FFFF', 'HFFG']"
1,10,0,1.0,0.8426049842298329,"['SFFF', 'FFHF', 'FFFF', 'FHHG']"
1,80,0,1.0,0.8947894553945313,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,39,0,1.0,0.9056079456455165,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9083329444789534,"['SHFH', 'FFFH', 'FHFF', 'FFHG']"
1,3,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'HFFG']"
1,36,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,17,0,1.0,0.7699788094052729,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,16,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,43,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,6,0,1.0,0.79346393184295,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,20,0,1.0,0.8400771692771434,"['SFFH', 'HHFH', 'HFFF', 'HFFG']"
1,35,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,97,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'HHFF', 'HFHG']"
1,19,0,1.0,0.8974819010978248,"['SFFF', 'HFFH', 'FFFF', 'FHHG']"
1,87,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,22,0,1.0,0.9674905716180701,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,56,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,83,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,77,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,78,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,52,0,1.0,0.9762504936564125,"['SHHH', 'FHFF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'FFFG']"
1,73,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,3,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'FFFG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,62,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,20,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,97,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'FHFG']"
1,13,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HFFF', 'HHFG']"
1,39,0,1.0,0.857932408958235,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,54,0,1.0,0.837556937769312,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,67,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,72,0,1.0,0.9645880999032158,"['SFHH', 'FHFF', 'FHFF', 'FFFG']"
