Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
500,0.043867334723472595,0.02145405113697052,-0.02283782698214054,-0.04576902091503143,87,500.0,259.12410747446273
500,0.04503682628273964,-0.038419339805841446,-0.04928415268659592,-0.0175792146474123,5,227.0,164.8023782343287
500,0.02689238451421261,0.040867045521736145,-0.024403387680649757,-0.04145152494311333,68,500.0,259.12410747446273
500,-0.037833552807569504,-0.020166244357824326,-0.0006452210946008563,-0.008178777061402798,34,500.0,259.12410747446273
500,-0.03317052870988846,-0.021648064255714417,-0.006581452209502459,-0.03409537672996521,36,297.0,196.76790731449054
500,0.02695302478969097,-0.0025309256743639708,0.02000138908624649,-0.038436178117990494,48,485.0,255.70316526019877
500,-0.00026080067618750036,0.0008173472597263753,-0.028760848566889763,0.00801880657672882,35,500.0,259.12410747446273
500,-0.04232628270983696,0.034991148859262466,-0.0369734950363636,0.007659294176846743,42,500.0,259.12410747446273
500,-0.017926886677742004,0.008926179260015488,0.044723790138959885,-0.028909284621477127,22,329.0,209.28645780361518
500,-0.01341317780315876,-0.04436001926660538,0.008805662393569946,-0.020691128447651863,35,414.0,237.2441977914856
500,0.011906244792044163,-0.03835916891694069,-0.03329431638121605,0.0269693024456501,26,500.0,259.12410747446273
500,-0.02308051660656929,-0.03779631853103638,0.024326477199792862,-0.020607631653547287,87,500.0,259.12410747446273
500,-0.006054277997463942,0.04880831763148308,-0.01627657376229763,-0.02378956787288189,77,500.0,259.12410747446273
500,0.011093536391854286,0.015050558373332024,0.02274283580482006,0.01734866015613079,71,500.0,259.12410747446273
500,0.020169032737612724,0.03041009046137333,0.01999516412615776,0.040322862565517426,17,354.0,218.2626246963858
500,-0.01857229508459568,0.01977463997900486,-0.042913977056741714,-0.049177780747413635,29,500.0,259.12410747446273
500,-0.021194729954004288,-0.009879754856228828,-0.03505376726388931,-0.03440381586551666,89,500.0,259.12410747446273
500,-0.04860588535666466,0.027165068313479424,-0.009735514409840107,0.011492633260786533,54,500.0,259.12410747446273
500,-0.04146529361605644,-0.014815623871982098,0.014604473486542702,-0.03448819741606712,81,500.0,259.12410747446273
500,0.01558749470859766,0.012628181837499142,0.005842345301061869,-0.029572978615760803,84,500.0,259.12410747446273
500,-0.024069825187325478,0.024603871628642082,0.0023872135207057,-0.04194280132651329,65,500.0,259.12410747446273
500,-0.047350142151117325,-0.021176770329475403,-0.041838064789772034,-0.04798125475645065,46,357.0,219.29515727189428
500,0.04147065803408623,0.008747103624045849,0.041270606219768524,-0.04710135981440544,40,268.0,184.33508155072926
500,-0.045401282608509064,0.018101530149579048,-0.013351090252399445,0.0321885347366333,72,382.0,227.54708378034883
500,-0.04261782392859459,-0.0025143467355519533,0.04963042959570885,0.02131049707531929,79,369.0,223.3334657698014
500,0.03803400322794914,0.00730311032384634,0.03724689409136772,0.03819258511066437,74,500.0,259.12410747446273
500,-0.00745821837335825,0.0051700640469789505,-0.016523847356438637,-0.027710359543561935,64,500.0,259.12410747446273
500,-0.00038527321885339916,0.03177608549594879,-0.021037204191088676,0.007878581061959267,18,500.0,259.12410747446273
500,0.036696553230285645,0.030297473073005676,-0.0007387928781099617,0.018867261707782745,43,500.0,259.12410747446273
500,-0.037381332367658615,0.0425085723400116,0.0351673848927021,0.029213445261120796,91,500.0,259.12410747446273
500,-0.027028173208236694,-0.017955536022782326,0.005713446997106075,-0.018230881541967392,100,500.0,259.12410747446273
500,-0.016031386330723763,-0.011095203459262848,0.03736534342169762,-0.009660551324486732,57,500.0,259.12410747446273
500,-0.008182456716895103,0.011071464978158474,-0.0356474332511425,0.04222746193408966,31,439.0,244.1973121970077
500,-0.02226240560412407,-0.046828169375658035,-0.001674185274168849,-0.03576379269361496,59,500.0,259.12410747446273
500,0.02379266731441021,-0.047297149896621704,-0.011844644322991371,0.004140601493418217,68,500.0,259.12410747446273
500,-0.03473709523677826,-0.02460046298801899,-0.04221362993121147,0.018322516232728958,6,500.0,259.12410747446273
500,-0.02581864595413208,-0.022413499653339386,-0.04290061071515083,0.041016604751348495,75,500.0,259.12410747446273
500,-0.00484804343432188,-0.022932052612304688,0.04536702111363411,-0.016853969544172287,98,500.0,259.12410747446273
500,0.04903159663081169,0.012531531043350697,0.00903238169848919,-0.01426326110959053,97,500.0,259.12410747446273
500,-0.01269583124667406,-0.028515098616480827,0.03670509532094002,0.030180584639310837,69,500.0,259.12410747446273
500,0.006102447863668203,0.004012358374893665,-0.02521318569779396,0.01403929851949215,30,500.0,259.12410747446273
500,-0.030310412868857384,-0.008067438378930092,0.006734597496688366,-0.026353606954216957,38,500.0,259.12410747446273
500,0.0495641864836216,0.025453027337789536,0.030996806919574738,0.013013514690101147,91,500.0,259.12410747446273
500,-0.026528559625148773,0.0010584247065708041,-0.04408559575676918,-0.006449408829212189,21,386.0,228.81081773385506
500,-0.02685551717877388,-0.008461891673505306,0.039538342505693436,0.02292269468307495,20,500.0,259.12410747446273
500,0.028294619172811508,-0.040165770798921585,0.04024314880371094,0.020159736275672913,76,500.0,259.12410747446273
500,0.049378395080566406,0.029846683144569397,0.04607801511883736,0.04331796616315842,2,500.0,259.12410747446273
500,-0.041072044521570206,0.001723738037981093,0.016023319214582443,0.018083443865180016,71,500.0,259.12410747446273
500,-0.04421374946832657,0.016505401581525803,0.024312200024724007,0.016518525779247284,75,500.0,259.12410747446273
500,-0.00756535679101944,0.02399531379342079,-0.03851272538304329,-0.007557353936135769,22,340.0,213.3191508196507
