Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,27,0,1.0,0.9445131481500655,"['SFFF', 'HFFF', 'FHFH', 'FHFG']"
1,50,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,35,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FFFF', 'FFFG']"
1,91,0,1.0,0.985089730404757,"['SHHF', 'FHFF', 'FFFF', 'FFHG']"
1,62,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,25,0,1.0,0.8921050870283477,"['SFFH', 'FFHH', 'FHFF', 'FFFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,24,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,97,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,32,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,7,0,1.0,0.9001824484431542,"['SFFF', 'HFFF', 'HHHF', 'HFHG']"
1,81,0,1.0,0.9762504936564125,"['SHFH', 'FHHF', 'FFFH', 'HFFG']"
1,80,0,1.0,0.9762504936564125,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,96,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,49,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFH', 'FHFG']"
1,76,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,23,0,1.0,0.9704017769489168,"['SHFF', 'FHFF', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'HHFG']"
1,52,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
