Temperature,Simulations,Return,Discounted Return,Map
1,26,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,39,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,63,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,69,0,1.0,0.9502058312852957,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,47,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,30,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,10,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,87,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,12,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,14,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'HFHF', 'FHHG']"
1,95,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,90,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HFFF', 'FHHG']"
1,12,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,3,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,72,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,53,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFFF', 'HHFG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,51,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'HHHF', 'HFFG']"
1,89,0,1.0,0.9704017769489168,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,99,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,22,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.8921050870283477,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFFF', 'FFHH', 'FFFG']"
1,56,0,1.0,0.8201257512162927,"['SFHF', 'HFHF', 'HFFF', 'FHFG']"
1,76,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,73,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,64,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFH', 'FHFG']"
1,66,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,47,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,49,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFHF', 'FFFG']"
1,80,0,1.0,0.9165572373164391,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,24,0,1.0,0.8683052775100066,"['SHHH', 'FFFF', 'FHHH', 'FFFG']"
1,85,0,1.0,0.9473552137914398,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,36,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFFF', 'HFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFH', 'FFFG']"
1,23,0,1.0,0.7494371162085136,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,58,0,1.0,0.8476834558136123,"['SFHH', 'HFFF', 'HHFH', 'FHFG']"
1,10,0,1.0,0.9165572373164391,"['SHHF', 'FFFF', 'FFFH', 'FFFG']"
1,60,0,1.0,0.9645880999032158,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,83,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,52,0,1.0,0.857932408958235,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'FFHG']"
1,51,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'HFHF', 'FFHG']"
1,25,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
1,44,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'HFHG']"
1,46,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,7,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,57,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFHF', 'HHHG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'HHFG']"
1,31,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,78,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,66,0,1.0,0.9645880999032158,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,99,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,57,0,1.0,0.8275513922024125,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9388545698794984,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,73,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,78,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,46,0,1.0,0.8426049842298329,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,72,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHFH', 'HHFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,54,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,97,0,1.0,0.8814479033836181,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,28,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHFF', 'FFHG']"
1,25,0,1.0,0.8476834558136123,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,53,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHFG']"
1,69,0,1.0,0.93603800616986,"['SFFH', 'HFHH', 'FFFH', 'FHFG']"
1,41,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,23,0,1.0,0.9445131481500655,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,8,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9473552137914398,"['SHHH', 'FHFH', 'FFFF', 'HHHG']"
1,42,0,1.0,0.9001824484431542,"['SHHH', 'FHFH', 'FHFF', 'FFFG']"
1,19,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFF', 'FHFG']"
1,61,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'HHFF', 'HFHG']"
1,77,0,1.0,0.8176653739626438,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,48,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FHHH', 'FFFG']"
1,98,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,52,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HFFF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHF', 'FFFG']"
1,62,0,1.0,0.985089730404757,"['SHHH', 'FHFH', 'FFFF', 'FFFG']"
1,34,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,36,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,33,0,1.0,0.9056079456455165,"['SFFH', 'FFFF', 'HHHF', 'FFFG']"
1,30,0,1.0,0.8735386475474635,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,33,0,0.0,0.0,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,68,0,1.0,0.9502058312852957,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,27,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFF', 'HFHG']"
1,31,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,33,0,1.0,0.9248559951318693,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,100,0,1.0,0.9304302024748964,"['SFFH', 'HFHF', 'HFHF', 'HFFG']"
1,74,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHHF', 'HFFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FFFH', 'HFFG']"
1,20,0,0.0,0.0,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,74,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFF', 'FFFG']"
1,64,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,28,0,1.0,0.9416796087056153,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,69,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,74,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,8,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'FFFF', 'FFFG']"
1,43,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,37,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,54,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
1,16,0,1.0,0.8078974551636565,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,68,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,83,0,1.0,0.7863441585589971,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,49,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFFF', 'FFFG']"
1,31,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,70,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HFFH', 'HHFG']"
1,98,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFFF', 'FFFG']"
1,32,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FHFF', 'HFFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFH', 'FFHH', 'HFFG']"
1,87,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HFFG']"
1,12,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
1,86,0,1.0,0.9248559951318693,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,28,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,48,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,25,0,1.0,0.8006481694852418,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,41,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,96,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,51,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,25,0,0.0,0.0,"['SHFF', 'FFHF', 'FHHF', 'FFFG']"
1,21,0,1.0,0.9276389118674717,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,76,0,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,26,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,47,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,79,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
