Temperature,Simulations,Return,Discounted Return,Map
1,62,0,1.0,0.985089730404757,"['SHHH', 'FHFH', 'FFFF', 'FFFG']"
1,68,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,19,0,1.0,0.90289112180858,"['SHHF', 'FHFH', 'FFHH', 'FFFG']"
1,86,0,1.0,0.9616943356035061,"['SHFF', 'FFHF', 'HFFF', 'FFFG']"
1,100,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FFFG']"
1,65,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HFHG']"
1,58,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,87,0,1.0,0.8894287717672626,"['SFHF', 'HFFF', 'HFHF', 'FFHG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,32,0,1.0,0.8683052775100066,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,66,0,1.0,0.9083329444789534,"['SHHF', 'FFFF', 'FHFF', 'HHHG']"
1,15,0,1.0,0.9083329444789534,"['SHHF', 'FFFF', 'FFFH', 'HFFG']"
1,85,0,1.0,0.8814479033836181,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,17,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,27,0,1.0,0.8275513922024125,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,31,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,60,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,95,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,23,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFH', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,89,0,1.0,0.9138075656044898,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,69,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,25,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,25,0,1.0,0.7792882711929549,"['SHFF', 'FFFF', 'FFHF', 'HHHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FFFG']"
1,72,0,1.0,0.9445131481500655,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,38,0,1.0,0.7746195551602378,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,24,0,1.0,0.8078974551636565,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
