Temperature,Simulations,Return,Discounted Return,Map
1,46,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'FFFG']"
1,29,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,22,0,1.0,0.8735386475474635,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,25,0,1.0,0.8788035596734672,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,88,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,79,0,1.0,0.8631032605924442,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,54,0,1.0,0.9248559951318693,"['SFHH', 'FHFF', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFF', 'HHFG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,72,0,1.0,0.8201257512162927,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9559328248389055,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,96,0,1.0,0.9248559951318693,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,23,0,1.0,0.767668872977057,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'HFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,38,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,85,0,1.0,0.78398512608332,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFH', 'HHFG']"
1,44,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HFFG']"
1,58,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,7,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,54,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFFF', 'HHFG']"
1,65,0,1.0,0.8553586117313603,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,94,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,17,0,1.0,0.8250687380258053,"['SFHH', 'FHFF', 'FFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFH', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,41,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,67,0,1.0,0.9110661429076764,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,19,0,1.0,0.8631032605924442,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'FFHG']"
1,57,0,1.0,0.8867604854519608,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,42,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,17,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,83,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FFFH', 'FHFG']"
1,22,0,1.0,0.884100203995605,"['SFFF', 'FHFH', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,86,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,80,0,1.0,0.9248559951318693,"['SFHH', 'FFHF', 'HFHF', 'FFFG']"
1,39,0,1.0,0.9193151828650342,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,25,0,1.0,0.9388545698794984,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHF', 'HFFG']"
1,36,0,1.0,0.9276389118674717,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,82,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,93,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HHHF', 'HFFG']"
1,95,0,1.0,0.9559328248389055,"['SFHH', 'HFHF', 'HFFF', 'HHFG']"
1,90,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,10,0,1.0,0.8735386475474635,"['SHFH', 'FFHH', 'FFHH', 'FFFG']"
