Temperature,Simulations,Return,Discounted Return
1,68,1.0,0.9791880578299021
1,16,0.0,0.0
1,47,1.0,0.8974819010978248
1,2,0.0,0.0
1,47,1.0,0.9388545698794984
1,54,1.0,0.9762504936564125
1,26,1.0,0.8006481694852418
1,93,1.0,0.9445131481500655
1,36,1.0,0.9704017769489168
1,11,0.0,0.0
1,23,1.0,0.8709180316048211
1,40,1.0,0.9821344612135428
1,2,0.0,0.0
1,5,0.0,0.0
1,23,1.0,0.7584982177744161
1,47,1.0,0.9502058312852957
1,77,1.0,0.9791880578299021
1,1,0.0,0.0
1,46,1.0,0.9056079456455165
1,81,1.0,0.985089730404757
1,9,0.0,0.0
1,68,1.0,0.9588092525966956
1,58,1.0,0.9502058312852957
1,73,1.0,0.985089730404757
1,66,1.0,0.9762504936564125
1,85,1.0,0.9530650263643888
1,74,1.0,0.9762504936564125
1,49,1.0,0.8201257512162927
1,25,1.0,0.8657003616774767
1,6,0.0,0.0
1,43,1.0,0.9165572373164391
1,84,1.0,0.9733217421754432
1,40,1.0,0.9193151828650342
1,80,1.0,0.9559328248389055
1,91,1.0,0.9791880578299021
1,86,1.0,0.9733217421754432
1,45,1.0,0.9056079456455165
1,47,1.0,0.8921050870283477
1,16,0.0,0.0
1,53,1.0,0.8974819010978248
1,87,1.0,0.9762504936564125
1,14,0.0,0.0
1,27,0.0,0.0
1,61,1.0,0.9674905716180701
1,93,1.0,0.985089730404757
1,70,1.0,0.985089730404757
1,45,1.0,0.9645880999032158
1,10,0.0,0.0
1,48,1.0,0.9248559951318693
1,23,1.0,0.9276389118674717
1,91,1.0,0.9674905716180701
1,1,0.0,0.0
1,40,1.0,0.9791880578299021
1,40,1.0,0.9821344612135428
1,88,1.0,0.9588092525966956
1,85,1.0,0.9791880578299021
1,91,1.0,0.8426049842298329
1,52,1.0,0.9559328248389055
1,29,1.0,0.9248559951318693
1,90,1.0,0.985089730404757
1,96,1.0,0.9791880578299021
1,91,1.0,0.9502058312852957
1,5,0.0,0.0
1,58,1.0,0.985089730404757
1,22,1.0,0.9559328248389055
1,76,1.0,0.9762504936564125
1,35,1.0,0.8761671489944468
1,6,0.0,0.0
1,18,1.0,0.8894287717672626
1,18,1.0,0.8735386475474635
1,11,0.0,0.0
1,86,1.0,0.9791880578299021
1,8,0.0,0.0
1,94,1.0,0.985089730404757
1,61,1.0,0.9530650263643888
1,43,1.0,0.9416796087056153
1,75,1.0,0.9791880578299021
1,70,1.0,0.9762504936564125
1,15,1.0,0.9530650263643888
1,32,1.0,0.9645880999032158
1,51,1.0,0.9821344612135428
1,10,0.0,0.0
1,76,1.0,0.9276389118674717
1,63,1.0,0.9616943356035061
1,87,1.0,0.9588092525966956
1,70,1.0,0.9248559951318693
1,99,1.0,0.9733217421754432
1,37,1.0,0.7746195551602378
1,85,1.0,0.985089730404757
1,62,1.0,0.9821344612135428
1,85,1.0,0.9645880999032158
1,94,1.0,0.9645880999032158
1,26,0.0,0.0
1,26,1.0,0.837556937769312
1,39,1.0,0.860513950810667
1,41,1.0,0.9791880578299021
1,73,1.0,0.9332298921513504
1,91,1.0,0.9704017769489168
1,94,1.0,0.9388545698794984
1,80,1.0,0.9821344612135428
