Temperature,Simulations,Return,Discounted Return,Map
1,85,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFF', 'FFFG']"
1,24,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,98,0,1.0,0.9588092525966956,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,73,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,14,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HFFG']"
1,46,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHHG']"
1,94,0,1.0,0.9473552137914398,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,32,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,55,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FFHG']"
1,40,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,77,0,1.0,0.7887102894272789,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.835044266956004,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9056079456455165,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,71,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FFFF', 'HHFG']"
1,53,0,1.0,0.9616943356035061,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9416796087056153,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9110661429076764,"['SFFH', 'HHFF', 'FHHF', 'HFFG']"
1,46,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,26,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,42,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,55,0,1.0,0.8921050870283477,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,24,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,87,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,70,0,1.0,0.9530650263643888,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHHG']"
1,61,0,1.0,0.9416796087056153,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,27,0,1.0,0.837556937769312,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,53,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'FHHG']"
1,99,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,72,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,48,0,1.0,0.8947894553945313,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HFFF', 'FFHG']"
1,35,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHFF', 'HFFG']"
1,70,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFHF', 'HFHG']"
1,25,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,72,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,55,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,32,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,58,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FFFG']"
1,86,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'HFFF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HFHG']"
1,28,0,1.0,0.9645880999032158,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,40,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,15,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,38,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FHHG']"
1,10,0,1.0,0.7449472384453084,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,38,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,56,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HFFH', 'FFFG']"
1,79,0,1.0,0.884100203995605,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,11,0,1.0,0.8683052775100066,"['SFFF', 'HHFF', 'FFFH', 'FHFG']"
1,82,0,1.0,0.9388545698794984,"['SFHF', 'FFHF', 'FHHH', 'FFFG']"
1,1,0,1.0,0.9276389118674717,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,24,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,55,0,1.0,0.9502058312852957,"['SHFH', 'FFHH', 'FHHF', 'FFFG']"
1,28,0,0.0,0.0,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,32,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFH', 'FFFG']"
1,61,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,24,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,44,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HFFH', 'FHFG']"
1,40,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'FHHG']"
1,54,0,0.0,0.0,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,21,0,1.0,0.9220814271464737,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,31,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFFF', 'HHHG']"
1,45,0,1.0,0.9445131481500655,"['SFHF', 'HFHF', 'FFHH', 'HFFG']"
1,78,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HHFF', 'HHHG']"
1,58,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,42,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9616943356035061,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,25,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHFF', 'HFFG']"
1,94,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,61,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,17,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HFFG']"
1,86,0,1.0,0.9791880578299021,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,22,0,1.0,0.90289112180858,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,67,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HHFH', 'FFFG']"
1,35,0,1.0,0.7584982177744161,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,22,0,1.0,0.8735386475474635,"['SFHH', 'FHFH', 'FFHF', 'FFFG']"
1,38,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
