Temperature,Simulations,Return,Discounted Return,Map
1,79,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FFFH', 'FHHH', 'FFFG']"
1,19,0,1.0,0.8657003616774767,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,54,0,1.0,0.7699788094052729,"['SHHH', 'FFFH', 'HFFH', 'HHFG']"
1,85,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HFFH', 'HFFG']"
1,35,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FHFH', 'HFFG']"
1,42,0,1.0,0.9304302024748964,"['SFFH', 'HHFF', 'HHHF', 'FFHG']"
1,74,0,1.0,0.8300415167526705,"['SFHF', 'FHFH', 'FFFH', 'HHFG']"
1,15,0,1.0,0.8867604854519608,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,14,0,1.0,0.884100203995605,"['SFHF', 'FFFH', 'FFFF', 'FHFG']"
1,22,0,1.0,0.803057341509771,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,43,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'HFHH', 'FFFG']"
1,48,0,1.0,0.9416796087056153,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,20,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HFFF', 'HHFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,53,0,1.0,0.8176653739626438,"['SFFF', 'FHHH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,18,0,1.0,0.8325391341551359,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,71,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,51,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,8,0,1.0,0.9248559951318693,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9674905716180701,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'FHFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHH', 'HFFG']"
1,11,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'HHFF', 'FFHG']"
1,57,0,1.0,0.9304302024748964,"['SFHH', 'FFFF', 'FHHF', 'FFFG']"
1,32,0,1.0,0.9304302024748964,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,4,0,1.0,0.93603800616986,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,98,0,1.0,0.8788035596734672,"['SFFF', 'HHFF', 'HHFH', 'FHFG']"
1,28,0,1.0,0.9193151828650342,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,14,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,100,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,45,0,1.0,0.9416796087056153,"['SFHH', 'FFHF', 'HFFF', 'FHFG']"
1,41,0,1.0,0.9165572373164391,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,18,0,1.0,0.7427123967299725,"['SHFF', 'FHHH', 'FFHH', 'FFFG']"
1,68,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'HFHG']"
1,72,0,1.0,0.8451404054461714,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,79,0,1.0,0.8078974551636565,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,64,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,46,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HHHF', 'FHFG']"
1,44,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,78,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFH', 'FFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
1,82,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,53,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,94,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,82,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,91,0,1.0,0.9530650263643888,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,10,0,1.0,0.7863441585589971,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,65,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,64,0,1.0,0.860513950810667,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,78,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SFFH', 'FHHH', 'FHFF', 'FFFG']"
1,98,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,38,0,1.0,0.9704017769489168,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,45,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,24,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'HFFF', 'FFHG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,62,0,0.0,0.0,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,12,0,0.0,0.0,"['SFFF', 'FFFF', 'HFHH', 'FFFG']"
1,51,0,1.0,0.93603800616986,"['SHHH', 'FHHH', 'FHFF', 'FFFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,62,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,49,0,1.0,0.9530650263643888,"['SHHF', 'FHHF', 'FFFF', 'FFFG']"
