Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9165572373164391,"['SHFH', 'FHHH', 'FFHH', 'FFFG']"
1,49,0,1.0,0.8788035596734672,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,70,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,42,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,3,0,1.0,0.8078974551636565,"['SFFF', 'FFHF', 'FFFF', 'FHFG']"
1,36,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,51,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'HHFF', 'HFHG']"
1,86,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FFHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHH', 'HFFG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HHFG']"
1,75,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HFFH', 'FHFG']"
1,22,0,1.0,0.8400771692771434,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,87,0,1.0,0.9276389118674717,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,68,0,1.0,0.9304302024748964,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,81,0,1.0,0.8709180316048211,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,60,0,1.0,0.9248559951318693,"['SHFF', 'FFFF', 'FFFH', 'HHFG']"
1,90,0,1.0,0.9276389118674717,"['SFFF', 'HHHF', 'FHHF', 'FHFG']"
1,90,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,31,0,0.0,0.0,"['SFHF', 'FFHF', 'FHHH', 'FFFG']"
1,87,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'FFFH', 'FHFG']"
1,22,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,61,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,88,0,1.0,0.8974819010978248,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,15,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHHG']"
1,31,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HFHG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,3,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,81,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'FFFF', 'HHHG']"
1,41,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,91,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9588092525966956,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,49,0,1.0,0.9616943356035061,"['SHHF', 'FFFF', 'HFFF', 'HFHG']"
1,98,0,1.0,0.9220814271464737,"['SHHF', 'FHFH', 'FFHH', 'HFFG']"
1,97,0,1.0,0.9138075656044898,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,14,0,1.0,0.8006481694852418,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,84,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,57,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HFFG']"
1,80,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,23,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,31,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,31,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HHHG']"
1,20,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,33,0,1.0,0.9445131481500655,"['SFFF', 'HFFF', 'HFFH', 'FFFG']"
1,60,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,36,0,1.0,0.9645880999032158,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,60,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,56,0,1.0,0.9138075656044898,"['SFHH', 'HFFH', 'HFFH', 'FHFG']"
1,44,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HFFG']"
1,92,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'FFFG']"
1,35,0,1.0,0.9388545698794984,"['SHFF', 'FHHH', 'FFHH', 'FFFG']"
1,24,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,50,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,26,0,1.0,0.7539540549517295,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,64,0,1.0,0.9001824484431542,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHH', 'HFFG']"
1,80,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,63,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'FFFF', 'HFFG']"
1,37,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFH', 'FFFG']"
1,43,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'HHFH', 'HFFG']"
1,53,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'FHFF', 'FFHG']"
1,91,0,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,33,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,70,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
1,77,0,1.0,0.8683052775100066,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FHFG']"
1,64,0,1.0,0.9588092525966956,"['SFHH', 'HFFH', 'FFFH', 'HHFG']"
1,56,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHF', 'HFFG']"
1,85,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'FHFG']"
1,95,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,21,0,1.0,0.8054737627981655,"['SFFF', 'HHHF', 'HHHF', 'HFFG']"
1,11,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,36,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'FHFH', 'HHFG']"
1,87,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'FHHF', 'HFHG']"
1,31,0,1.0,0.8921050870283477,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,77,0,1.0,0.985089730404757,"['SHHF', 'FHHH', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9445131481500655,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,100,0,1.0,0.8657003616774767,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,100,0,1.0,0.9762504936564125,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9276389118674717,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,22,0,1.0,0.7792882711929549,"['SFFF', 'HFHH', 'HFFF', 'FHFG']"
1,63,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFFH', 'HFFG']"
1,82,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,80,0,1.0,0.8476834558136123,"['SHFH', 'FFFF', 'FHHF', 'HFHG']"
1,40,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,78,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFHH', 'HFFG']"
1,88,0,1.0,0.9616943356035061,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
1,83,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,18,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,18,0,1.0,0.9704017769489168,"['SHHF', 'FFHH', 'FFFF', 'FFFG']"
1,56,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,75,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'HFFH', 'FFFG']"
1,68,0,1.0,0.7722956964947572,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,90,0,1.0,0.9248559951318693,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,39,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,83,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FFFF', 'HHFG']"
1,49,0,1.0,0.7887102894272789,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,91,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,64,0,1.0,0.8894287717672626,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,34,0,1.0,0.9001824484431542,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,100,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,43,0,1.0,0.8814479033836181,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,80,0,1.0,0.8502341582884777,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,82,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,43,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,73,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,70,0,1.0,0.9473552137914398,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,48,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,36,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HHFF', 'HHHG']"
1,70,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,18,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'HHFF', 'FHFG']"
1,92,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FHFH', 'HFFG']"
1,49,0,1.0,0.9530650263643888,"['SFHF', 'FHHF', 'FFFF', 'HFFG']"
1,70,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'FHFF', 'HHFG']"
1,70,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FHFF', 'HHHG']"
1,55,0,1.0,0.9138075656044898,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,64,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,83,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,78,0,1.0,0.9276389118674717,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,79,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FHHH', 'FFFG']"
1,3,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HFFH', 'FFFG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,71,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHHF', 'FHHG']"
1,29,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,37,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'HFFH', 'HFFG']"
1,37,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FHHF', 'FFHG']"
1,54,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,67,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,30,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'HFHG']"
1,47,0,1.0,0.9588092525966956,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,21,0,1.0,0.9821344612135428,"['SHFH', 'FHHH', 'FFHH', 'FFFG']"
1,59,0,1.0,0.9616943356035061,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,43,0,1.0,0.7584982177744161,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'HHHG']"
1,29,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,28,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'HHHF', 'HHFG']"
1,71,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HFFF', 'HHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,69,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,5,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'HFFF', 'HFFG']"
