Temperature,Simulations,Return,Discounted Return,Map
1,13,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,16,0,1.0,0.8788035596734672,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,30,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,76,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FFFF', 'FHHG']"
1,49,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,13,0,1.0,0.8683052775100066,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9473552137914398,"['SFFF', 'HHFH', 'HHFH', 'HFFG']"
1,38,0,1.0,0.837556937769312,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,59,0,1.0,0.9473552137914398,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,26,0,1.0,0.9276389118674717,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,89,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,38,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
1,11,0,1.0,0.8657003616774767,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
1,49,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFF', 'HFHG']"
1,16,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,87,0,1.0,0.9502058312852957,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,36,0,1.0,0.8921050870283477,"['SFFH', 'HFFH', 'FHFF', 'HFHG']"
1,31,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,68,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,23,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,79,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,40,0,1.0,0.9056079456455165,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,53,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'FHHH', 'FFFG']"
1,98,0,1.0,0.9530650263643888,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,48,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,85,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,68,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,100,0,1.0,0.9588092525966956,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,91,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,31,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,6,0,1.0,0.8006481694852418,"['SFHH', 'HFHF', 'HFFF', 'FFFG']"
1,65,0,1.0,0.9332298921513504,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,90,0,1.0,0.8657003616774767,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
