Temperature,Simulations,Return,Discounted Return,Map
1,19,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'HFFF', 'FFFG']"
1,97,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,92,0,1.0,0.747188804859888,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,92,0,1.0,0.9056079456455165,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,42,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,45,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,45,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,51,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9276389118674717,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,34,0,1.0,0.9704017769489168,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,84,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,63,0,1.0,0.9733217421754432,"['SFHF', 'FHFH', 'FHFH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,30,0,1.0,0.8657003616774767,"['SFFH', 'FFFF', 'HHFH', 'HFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHFG']"
1,78,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,26,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'FHFG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,63,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHHF', 'FFFG']"
1,53,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,67,0,1.0,0.9445131481500655,"['SFHH', 'FFHF', 'FFHH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,6,0,1.0,0.857932408958235,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,85,0,1.0,0.985089730404757,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,10,0,1.0,0.8947894553945313,"['SFFF', 'HHHF', 'FFFF', 'HHFG']"
1,93,0,1.0,0.9083329444789534,"['SFHH', 'HFFH', 'FFFH', 'HHFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,47,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FHHF', 'HFHG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'HFHF', 'HFFG']"
1,21,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HFFF', 'FHHG']"
1,49,0,1.0,0.9733217421754432,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,84,0,1.0,0.9530650263643888,"['SFFF', 'HFHH', 'FFFH', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'FHFG']"
1,79,0,1.0,0.8761671489944468,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,67,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,17,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,21,0,1.0,0.8974819010978248,"['SFHF', 'HFFH', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,33,0,1.0,0.9445131481500655,"['SHFH', 'FFFF', 'FHHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HHHG']"
1,27,0,1.0,0.9616943356035061,"['SHFF', 'FFHH', 'FFFH', 'FFFG']"
1,9,0,1.0,0.857932408958235,"['SFFF', 'HHFF', 'HFHF', 'HFFG']"
1,33,0,1.0,0.9559328248389055,"['SHFF', 'FHHF', 'FFFF', 'HFFG']"
1,96,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,30,0,0.0,0.0,"['SFFH', 'FFHF', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,25,0,1.0,0.803057341509771,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,30,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,91,0,1.0,0.9473552137914398,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,35,0,1.0,0.8078974551636565,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
1,93,0,1.0,0.8709180316048211,"['SHFF', 'FHFH', 'FHHF', 'FFFG']"
1,51,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,79,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,92,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,58,0,1.0,0.8921050870283477,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,43,0,1.0,0.9473552137914398,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,33,0,1.0,0.7958514863018556,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,43,0,1.0,0.9473552137914398,"['SHFH', 'FHHF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,65,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,58,0,1.0,0.90289112180858,"['SFFH', 'FFHH', 'HFFF', 'FFHG']"
1,91,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFFF', 'FFHG']"
1,49,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,34,0,1.0,0.93603800616986,"['SHFF', 'FFHH', 'FFFF', 'HFHG']"
1,56,0,1.0,0.7910835400474212,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,69,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFF', 'HFFG']"
1,44,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HFHG']"
1,9,0,1.0,0.8553586117313603,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,20,0,1.0,0.860513950810667,"['SFHH', 'HFFF', 'HHHF', 'HFFG']"
1,77,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,58,0,1.0,0.9248559951318693,"['SFFH', 'HHFH', 'HFFH', 'HHFG']"
1,53,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,95,0,1.0,0.9645880999032158,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,49,0,1.0,0.9001824484431542,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,18,0,1.0,0.8476834558136123,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,37,0,1.0,0.9616943356035061,"['SHFF', 'FFHF', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,52,0,1.0,0.7630697687590515,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,23,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFH', 'HHFG']"
1,44,0,1.0,0.8631032605924442,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9165572373164391,"['SHHF', 'FHHF', 'FHHH', 'FFFG']"
1,20,0,1.0,0.7910835400474212,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,34,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'FFHF', 'FHHG']"
1,97,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,66,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'FFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,68,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'FFFH', 'FHFG']"
1,100,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,24,0,1.0,0.9502058312852957,"['SFHH', 'FFFH', 'FFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,22,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,73,0,1.0,0.8867604854519608,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,81,0,1.0,0.9791880578299021,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,68,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,51,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HHFH', 'HHFG']"
1,74,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'FHFH', 'FFFG']"
1,83,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'HFFG']"
1,60,0,1.0,0.9821344612135428,"['SHFF', 'FHFF', 'FHFF', 'FFFG']"
1,58,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHFG']"
1,96,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,62,0,1.0,0.8006481694852418,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,60,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,55,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FHFH', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,71,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,32,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,53,0,1.0,0.9674905716180701,"['SFFF', 'HFHH', 'HFFH', 'HFFG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,23,0,1.0,0.7910835400474212,"['SFFF', 'HHHF', 'HFHF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HFHG']"
1,78,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,87,0,1.0,0.9704017769489168,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHHG']"
1,77,0,1.0,0.8006481694852418,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,70,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,60,0,1.0,0.9502058312852957,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,71,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,26,0,1.0,0.9138075656044898,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,85,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FHHH', 'FFFG']"
1,80,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9616943356035061,"['SFFH', 'HFHF', 'HFHH', 'HFFG']"
1,19,0,1.0,0.9445131481500655,"['SFHF', 'FFFH', 'FFFF', 'HHFG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,18,0,1.0,0.8451404054461714,"['SHHH', 'FHHH', 'FHFF', 'FFFG']"
1,88,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,40,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,52,0,1.0,0.90289112180858,"['SFHH', 'HFFF', 'HHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,33,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,63,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,22,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,12,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,100,0,1.0,0.9388545698794984,"['SHFF', 'FHFF', 'FFFH', 'HFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
1,87,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,10,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FHFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,45,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,86,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'FFFF', 'FHFG']"
1,59,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFHF', 'FFHG']"
1,31,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'HHFG']"
1,16,0,1.0,0.8709180316048211,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,20,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFH', 'FHFG']"
1,44,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,21,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,50,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FHFH', 'FHFG']"
1,79,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'HHHF', 'FFHG']"
1,12,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FHHG']"
1,39,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HFFG']"
1,35,0,1.0,0.9416796087056153,"['SFFF', 'FFFH', 'HHFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,37,0,1.0,0.8921050870283477,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,53,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,69,0,1.0,0.8974819010978248,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,18,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,54,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'FHHG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFHG']"
1,71,0,1.0,0.9056079456455165,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FHHG']"
1,93,0,1.0,0.9248559951318693,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9559328248389055,"['SHFH', 'FHFF', 'FHHH', 'FFFG']"
1,50,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFF', 'HHFG']"
1,71,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'HFFF', 'HHFG']"
1,22,0,0.0,0.0,"['SHHF', 'FHFH', 'FFHF', 'HFFG']"
