Temperature,Simulations,Return,Discounted Return,Map
1,67,0,1.0,0.8735386475474635,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,59,0,1.0,0.9304302024748964,"['SHFH', 'FHFF', 'FHFH', 'FFFG']"
1,46,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFFF', 'FHHG']"
1,54,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'FFFH', 'HFFG']"
1,70,0,1.0,0.9388545698794984,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9416796087056153,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,26,0,1.0,0.8894287717672626,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,34,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHHF', 'HHHG']"
1,60,0,1.0,0.8426049842298329,"['SHFH', 'FHFH', 'FFFF', 'HHFG']"
1,53,0,1.0,0.8657003616774767,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,65,0,1.0,0.8814479033836181,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,25,0,0.0,0.0,"['SFFH', 'HFHF', 'HFHF', 'HFFG']"
1,67,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,50,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,70,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,23,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,56,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,81,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9388545698794984,"['SFHF', 'HFHF', 'FFFF', 'HHHG']"
1,59,0,1.0,0.7494371162085136,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,78,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HFFF', 'HFHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHFG']"
1,17,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'FHHG']"
1,86,0,1.0,0.857932408958235,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,60,0,1.0,0.9165572373164391,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,92,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
1,57,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFFF', 'FFFG']"
1,46,0,1.0,0.8788035596734672,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,21,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFHF', 'FHFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,39,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,29,0,1.0,0.8683052775100066,"['SHHH', 'FFHF', 'FHHF', 'FFFG']"
1,72,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,12,0,1.0,0.884100203995605,"['SFHH', 'FFFH', 'HFFF', 'HHFG']"
1,22,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFF', 'HHFG']"
1,95,0,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
1,59,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HFFG']"
1,22,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,92,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,21,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9588092525966956,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,97,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,53,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,28,0,1.0,0.93603800616986,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,32,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FFFG']"
1,36,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,53,0,1.0,0.9165572373164391,"['SFFH', 'HFFH', 'HHFF', 'FFHG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFF', 'FHHG']"
1,68,0,1.0,0.79346393184295,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,35,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFF', 'HHFG']"
1,59,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'HHFF', 'HFFG']"
1,62,0,1.0,0.8152123778407558,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,79,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,39,0,1.0,0.8709180316048211,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,42,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'HFHG']"
1,96,0,1.0,0.8788035596734672,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,69,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,79,0,1.0,0.860513950810667,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,76,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,73,0,1.0,0.9473552137914398,"['SFHH', 'FHFH', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,49,0,1.0,0.7449472384453084,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HFHG']"
1,22,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFF', 'HHHG']"
1,20,0,1.0,0.8103284404851119,"['SFHH', 'HFFF', 'FHFF', 'FFHG']"
1,56,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,83,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'FFHH', 'FFFG']"
1,29,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,49,0,1.0,0.9530650263643888,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,72,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,28,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'FHFF', 'HFHG']"
1,27,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,82,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FHFF', 'FHFG']"
1,79,0,1.0,0.7746195551602378,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,60,0,1.0,0.9733217421754432,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,69,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'HHFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,90,0,1.0,0.798246224976786,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,78,0,1.0,0.9473552137914398,"['SFFH', 'HFHH', 'HFFF', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,60,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,11,0,1.0,0.8921050870283477,"['SFFF', 'FFFF', 'HHFH', 'HFFG']"
1,82,0,1.0,0.9645880999032158,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,8,0,1.0,0.8103284404851119,"['SHFH', 'FFFH', 'FFFH', 'HFFG']"
1,26,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HFFF', 'FHHG']"
1,29,0,1.0,0.7584982177744161,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,36,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,40,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,67,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,58,0,1.0,0.8225935318117279,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,70,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,19,0,1.0,0.79346393184295,"['SFHF', 'FFFH', 'HFFF', 'FHFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,90,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HHFF', 'FHFG']"
1,54,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,100,0,1.0,0.9559328248389055,"['SHHH', 'FFHH', 'FHHH', 'FFFG']"
1,54,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,93,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,37,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,57,0,1.0,0.9220814271464737,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,63,0,1.0,0.9473552137914398,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,27,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,73,0,1.0,0.7887102894272789,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,44,0,1.0,0.9220814271464737,"['SFFF', 'HFHF', 'HFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,70,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHF', 'HFFG']"
1,45,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,61,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,70,0,1.0,0.9304302024748964,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,99,0,1.0,0.9762504936564125,"['SHFH', 'FHHH', 'FFHH', 'FFFG']"
1,17,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FHHG']"
1,56,0,1.0,0.8250687380258053,"['SHFH', 'FHFF', 'FFFH', 'FHFG']"
1,6,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'HFFG']"
1,94,0,1.0,0.9083329444789534,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,46,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'FHFG']"
1,80,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,99,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHH', 'HFFG']"
1,87,0,1.0,0.9110661429076764,"['SHFF', 'FFHH', 'HFHF', 'FFFG']"
1,78,0,1.0,0.9791880578299021,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,78,0,1.0,0.9733217421754432,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,65,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'FHFF', 'FFFG']"
1,47,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,76,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SFFF', 'FFHH', 'HFFF', 'FHFG']"
1,23,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'FFFF', 'HFHG']"
1,95,0,1.0,0.8947894553945313,"['SFHH', 'FHFF', 'FFFF', 'HHHG']"
1,29,0,1.0,0.9473552137914398,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFFF', 'FHHG']"
1,73,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,68,0,1.0,0.8078974551636565,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,47,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'FHFG']"
1,94,0,1.0,0.9645880999032158,"['SHHH', 'FHFH', 'FFFF', 'FFHG']"
1,22,0,1.0,0.9588092525966956,"['SHFF', 'FHHF', 'FHFF', 'FFFG']"
1,45,0,1.0,0.9674905716180701,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
