Temperature,Simulations,Return,Discounted Return,Map
1,23,0,1.0,0.9762504936564125,"['SFFH', 'FHHH', 'FFFF', 'FFFG']"
1,6,0,1.0,0.8631032605924442,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,72,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'FFFH', 'FHFG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,45,0,1.0,0.8300415167526705,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,96,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
1,23,0,1.0,0.8176653739626438,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,72,0,1.0,0.9332298921513504,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,54,0,1.0,0.7910835400474212,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,72,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'HHHG']"
1,57,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,32,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,34,0,1.0,0.7863441585589971,"['SHFH', 'FFFF', 'HHFF', 'FFFG']"
1,57,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,26,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,51,0,1.0,0.8814479033836181,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHH', 'HFFG']"
1,52,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'HHHF', 'FHHG']"
1,45,0,1.0,0.8275513922024125,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,95,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHH', 'HFFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,16,0,1.0,0.9674905716180701,"['SHFF', 'FFHF', 'FFFH', 'FFFG']"
1,52,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,22,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HFFF', 'HFFG']"
1,73,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'FFFF', 'FFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFHF', 'HFHH', 'HFFG']"
1,36,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,48,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,61,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,24,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HHFG']"
1,57,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,20,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FFHF', 'FHFG']"
1,61,0,1.0,0.9276389118674717,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,29,0,1.0,0.9276389118674717,"['SHFH', 'FFHH', 'FFFF', 'FFHG']"
1,70,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,42,0,1.0,0.9416796087056153,"['SHFH', 'FHHF', 'FFFF', 'HHFG']"
1,54,0,1.0,0.8974819010978248,"['SHHF', 'FHHF', 'FFFF', 'HFFG']"
1,56,0,1.0,0.8103284404851119,"['SFHH', 'FFFF', 'HFHF', 'HHHG']"
1,39,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,4,0,1.0,0.9416796087056153,"['SFHF', 'FFHF', 'FFFH', 'FFFG']"
1,34,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHFF', 'HHHG']"
1,70,0,1.0,0.9559328248389055,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,54,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FFHG']"
1,65,0,1.0,0.9473552137914398,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,59,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'FFFH', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHHF', 'FHFH', 'FFFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,56,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,90,0,1.0,0.8894287717672626,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHHF', 'FFHG']"
1,85,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,47,0,1.0,0.8400771692771434,"['SFHH', 'FFFH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,54,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,90,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HFHF', 'HFFG']"
1,50,0,1.0,0.860513950810667,"['SHFF', 'FFFF', 'FHHF', 'HFHG']"
1,54,0,1.0,0.9733217421754432,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFHG']"
1,58,0,1.0,0.860513950810667,"['SFHF', 'FFFH', 'HFFH', 'FHFG']"
1,20,0,1.0,0.9220814271464737,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,53,0,1.0,0.8761671489944468,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,42,0,1.0,0.9304302024748964,"['SFHH', 'FFFF', 'FFFF', 'HHHG']"
1,25,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,20,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,18,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'FHHG']"
1,59,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,34,0,1.0,0.8201257512162927,"['SFHF', 'FFHF', 'HFFF', 'FHHG']"
1,52,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'HFFG']"
1,98,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,81,0,1.0,0.9821344612135428,"['SHFF', 'FHFF', 'FFFF', 'HFFG']"
1,72,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,32,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFH', 'HHFG']"
1,29,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
