Temperature,Simulations,Return,Discounted Return,Map
1,56,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'HFFF', 'FFFG']"
1,37,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,98,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'FFHG']"
1,28,0,1.0,0.93603800616986,"['SFHH', 'FFFH', 'FHFF', 'FFFG']"
1,92,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHH', 'FFFG']"
1,23,0,1.0,0.7607805594527743,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,76,0,1.0,0.9473552137914398,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,65,0,1.0,0.9416796087056153,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,40,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
1,12,0,1.0,0.8657003616774767,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,57,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFHH', 'FFFG']"
1,92,0,1.0,0.9056079456455165,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,71,0,0.0,0.0,"['SFFF', 'FHHF', 'FFFH', 'FHFG']"
1,19,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFF', 'HHFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
1,30,0,1.0,0.9530650263643888,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,66,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,30,0,1.0,0.93603800616986,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,76,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HHFF', 'HFFG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,63,0,1.0,0.93603800616986,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,56,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FHFF', 'HFHG']"
1,54,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,80,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,54,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,11,0,1.0,0.8426049842298329,"['SFHH', 'FFFH', 'HFFH', 'FFFG']"
1,95,0,1.0,0.9530650263643888,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,75,0,1.0,0.9559328248389055,"['SHHH', 'FFHF', 'FHHF', 'FFFG']"
1,41,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,51,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'HFFF', 'FFFG']"
1,32,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,59,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,42,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,27,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,24,0,1.0,0.837556937769312,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,57,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHHH', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,23,0,1.0,0.9388545698794984,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,44,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FHFF', 'FFFG']"
1,33,0,1.0,0.8894287717672626,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FHFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,37,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,40,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
