Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,39,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,57,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HFHG']"
1,37,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,38,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,83,0,1.0,0.9645880999032158,"['SFHH', 'FFHF', 'FFHF', 'FFFG']"
1,39,0,1.0,0.9165572373164391,"['SFFF', 'HHFH', 'HFFF', 'HHFG']"
1,57,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,47,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9530650263643888,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,94,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,12,0,1.0,0.884100203995605,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,77,0,1.0,0.9473552137914398,"['SFHH', 'FFHF', 'FFHF', 'HFFG']"
1,53,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,98,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,75,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,37,0,1.0,0.8921050870283477,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,23,0,1.0,0.9530650263643888,"['SFHH', 'FFHH', 'HFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,22,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,52,0,1.0,0.803057341509771,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,81,0,1.0,0.837556937769312,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,58,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHF', 'FFFG']"
1,27,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,45,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,75,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,24,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HFHG']"
1,85,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,56,0,1.0,0.884100203995605,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,24,0,1.0,0.79346393184295,"['SFFF', 'HFHF', 'FFFH', 'HFFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HHFF', 'FFFH', 'FHFG']"
1,75,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,35,0,0.0,0.0,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,81,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFHH', 'HFFG']"
1,4,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,25,0,1.0,0.9332298921513504,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,44,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.9674905716180701,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,99,0,1.0,0.9762504936564125,"['SHFH', 'FHHH', 'FFFF', 'FHFG']"
1,66,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFH', 'HHFG']"
1,62,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HFFG']"
1,50,0,1.0,0.90289112180858,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,59,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'HHHF', 'FHFG']"
1,76,0,1.0,0.9674905716180701,"['SHFH', 'FHFF', 'FFFF', 'FHFG']"
1,87,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'FFHF', 'FHFG']"
1,24,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'HHFG']"
1,59,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,78,0,1.0,0.93603800616986,"['SHFH', 'FFFH', 'FHFH', 'HHFG']"
1,94,0,1.0,0.985089730404757,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
1,57,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,95,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHHG']"
1,10,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FHHF', 'FHFF', 'FFFG']"
1,48,0,1.0,0.9110661429076764,"['SFFF', 'FHHF', 'FHHH', 'FFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,55,0,1.0,0.7958514863018556,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,79,0,1.0,0.8527925358961662,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,58,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,52,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,49,0,1.0,0.9220814271464737,"['SFHF', 'FFFH', 'FHFF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,29,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,52,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFFG']"
1,37,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,70,0,1.0,0.9001824484431542,"['SFFH', 'HHFH', 'HHFH', 'FFFG']"
1,58,0,1.0,0.9220814271464737,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,19,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,87,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHF', 'FFFG']"
1,52,0,1.0,0.9791880578299021,"['SHHH', 'FFHF', 'HFFF', 'HFFG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'FFFG']"
1,30,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFFF', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,20,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,14,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'FHHG']"
1,97,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFHF', 'FFHG']"
1,44,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,19,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,78,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFF', 'HFHG']"
1,68,0,1.0,0.9388545698794984,"['SFFF', 'FHFH', 'FHFF', 'FHHG']"
1,55,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,79,0,1.0,0.9473552137914398,"['SHFF', 'FFHH', 'FFHH', 'HFFG']"
1,61,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'HHHF', 'FFFG']"
1,46,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFF', 'HFFG']"
1,51,0,1.0,0.8553586117313603,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,27,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'FHFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHHG']"
1,72,0,1.0,0.857932408958235,"['SFHH', 'FFFF', 'HHHF', 'HHFG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9645880999032158,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,44,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHHF', 'FHHG']"
1,77,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,23,0,1.0,0.9473552137914398,"['SFHH', 'FFHF', 'FFFF', 'HHFG']"
1,84,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,12,0,1.0,0.9473552137914398,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'FHHF', 'FHHF', 'FFFG']"
1,37,0,1.0,0.8631032605924442,"['SFHH', 'HFHH', 'FFHH', 'FFFG']"
1,56,0,1.0,0.7910835400474212,"['SFHF', 'FHFH', 'FFFF', 'FFHG']"
