Temperature,Simulations,Return,Discounted Return,Map
1,20,0,1.0,0.8894287717672626,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'FFFG']"
1,50,0,1.0,0.9588092525966956,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,4,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,30,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,28,0,1.0,0.9674905716180701,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,17,0,1.0,0.8631032605924442,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,30,0,1.0,0.8631032605924442,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,24,0,1.0,0.9110661429076764,"['SFFH', 'FFFH', 'HFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,86,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,99,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFFH', 'FHHF', 'FFFG']"
1,14,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,92,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,83,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,32,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,34,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,51,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFFF', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHH', 'FFFG']"
1,38,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'HFFF', 'FFFG']"
1,40,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFFF', 'HFFG']"
1,62,0,1.0,0.8921050870283477,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,58,0,1.0,0.93603800616986,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,64,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,89,0,1.0,0.9733217421754432,"['SFHF', 'FFHF', 'FHHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFH', 'FHFG']"
1,82,0,1.0,0.860513950810667,"['SHHH', 'FHFH', 'FFFH', 'FHFG']"
1,49,0,1.0,0.9056079456455165,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,45,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'HFFG']"
1,47,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,26,0,1.0,0.860513950810667,"['SFFF', 'HFFH', 'HHFF', 'FHHG']"
1,34,0,1.0,0.9473552137914398,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,25,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,26,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,86,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,45,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,93,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FFHH', 'HFFG']"
1,67,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,85,0,1.0,0.8761671489944468,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFH', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHFF', 'HHHG']"
1,68,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'HFFF', 'HFFG']"
1,25,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,91,0,1.0,0.8814479033836181,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,74,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,67,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,60,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,48,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,36,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HHFG']"
1,14,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,37,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'HHFF', 'HFFG']"
1,20,0,1.0,0.7630697687590515,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,57,0,1.0,0.8894287717672626,"['SFHH', 'FFFH', 'FHFH', 'HFFG']"
1,27,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,11,0,1.0,0.9559328248389055,"['SHFF', 'FFHH', 'FFFF', 'FFFG']"
1,47,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,56,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFFF', 'FFFG']"
1,43,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9083329444789534,"['SFFH', 'FFHH', 'HFHF', 'FFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFH', 'FHHH', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,11,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,66,0,1.0,0.9165572373164391,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,65,0,1.0,0.9388545698794984,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,86,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,60,0,1.0,0.9388545698794984,"['SFFF', 'HFFF', 'FHFH', 'HFFG']"
1,90,0,1.0,0.9616943356035061,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,40,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHHF', 'FHFG']"
1,60,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,59,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,45,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'FHFF', 'FHHG']"
1,28,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,28,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHFF', 'FFFG']"
1,15,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFF', 'HFFG']"
1,39,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,23,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HHFF', 'FFFG']"
1,32,0,1.0,0.8527925358961662,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,75,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,16,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'HHHF', 'FFHG']"
1,80,0,1.0,0.9821344612135428,"['SFHF', 'HFHH', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9220814271464737,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,96,0,1.0,0.9674905716180701,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,69,0,1.0,0.9276389118674717,"['SFFH', 'HFHF', 'FFHH', 'HFFG']"
1,20,0,1.0,0.9762504936564125,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FHHG']"
1,77,0,1.0,0.9388545698794984,"['SFHH', 'HFFH', 'FFFH', 'FFFG']"
1,41,0,1.0,0.857932408958235,"['SFHF', 'FFFF', 'HFHF', 'HHFG']"
1,72,0,1.0,0.9248559951318693,"['SFHH', 'HFHF', 'HFHH', 'HFFG']"
1,85,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,49,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,80,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FFHF', 'HFHG']"
1,17,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,90,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'HHHF', 'HHHG']"
1,67,0,1.0,0.9304302024748964,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
1,93,0,1.0,0.9220814271464737,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,10,0,1.0,0.8735386475474635,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,79,0,1.0,0.90289112180858,"['SFHF', 'FHHF', 'FFFF', 'HHHG']"
1,72,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'HHHG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHHF', 'HHFG']"
1,20,0,1.0,0.9304302024748964,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,60,0,1.0,0.9645880999032158,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,98,0,1.0,0.9645880999032158,"['SFFH', 'FFHH', 'FHFF', 'FFFG']"
1,79,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,15,0,1.0,0.90289112180858,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,57,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHFH', 'FHFG']"
1,5,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'FHFG']"
1,39,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHFF', 'HHHG']"
1,16,0,1.0,0.9502058312852957,"['SFHF', 'FFFH', 'FHFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'FHFG']"
1,83,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHFH', 'FFFG']"
1,33,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,95,0,1.0,0.93603800616986,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,20,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,71,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'HFHF', 'FFFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,85,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'FHHG']"
1,71,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,95,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'HFFF', 'HFFG']"
1,54,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFH', 'FHFF', 'FHHF', 'FFFG']"
