Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return
500,0.045979324728250504,-0.038310837000608444,-0.015863297507166862,-0.02812204137444496,9,195.0
500,-0.0343821719288826,0.021180860698223114,-0.006061896216124296,-0.026461850851774216,93,259.0
500,-0.04077504202723503,0.020551705732941628,0.04356955736875534,0.0011091760825365782,59,500.0
500,-0.009137650020420551,0.016124680638313293,0.0074376557022333145,-0.02103426679968834,53,308.0
500,-0.03851614519953728,0.011572391726076603,-0.027679430320858955,0.04391159117221832,87,320.0
500,0.037974730134010315,-0.01984027959406376,0.046458322554826736,0.047180235385894775,80,500.0
500,-0.004989940207451582,-0.01391680259257555,0.029058098793029785,0.025333940982818604,48,288.0
500,-0.01873263530433178,0.02994196116924286,0.03736640512943268,-0.04743741452693939,29,500.0
500,-0.04709213972091675,-0.04926509037613869,-0.018308373168110847,-0.015617534518241882,58,500.0
500,0.046507492661476135,0.007460557855665684,-0.003364259609952569,-0.010389275848865509,85,489.0
