Temperature,Simulations,Return,Discounted Return,Map
1,50,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,28,0,1.0,0.8761671489944468,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,76,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,39,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,25,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHHG']"
1,79,0,1.0,0.9762504936564125,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,41,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,67,0,1.0,0.93603800616986,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,8,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,24,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,97,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FFFF', 'FFFG']"
1,83,0,1.0,0.7562227231210928,"['SFHH', 'FFFH', 'FHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FHHG']"
1,82,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,100,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FHHF', 'HFFG']"
1,40,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,81,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,77,0,1.0,0.9733217421754432,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,67,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
