Temperature,Simulations,Return,Discounted Return,Map
1,45,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFHG']"
1,57,0,1.0,0.7699788094052729,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,56,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,88,0,1.0,0.9416796087056153,"['SFFH', 'FFFF', 'HHHF', 'HFFG']"
1,97,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HFFF', 'FFFG']"
1,82,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FFHF', 'FHHG']"
1,77,0,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,98,0,1.0,0.9416796087056153,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,13,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,90,0,1.0,0.9138075656044898,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,62,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'HHFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FHFG']"
1,87,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFH', 'HHFG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,69,0,1.0,0.9388545698794984,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'FHFF', 'FHHG']"
1,76,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,24,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'FFHF', 'FFFG']"
1,95,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,95,0,1.0,0.9530650263643888,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,59,0,1.0,0.857932408958235,"['SHHH', 'FFHH', 'HFHF', 'HFFG']"
1,54,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,63,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,80,0,1.0,0.9193151828650342,"['SFFH', 'FFFF', 'HHFH', 'HHFG']"
1,37,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,64,0,1.0,0.8814479033836181,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,19,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,55,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HHHF', 'HFHG']"
1,48,0,1.0,0.9248559951318693,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,28,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,13,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,52,0,1.0,0.9674905716180701,"['SHFH', 'FHHH', 'FHFF', 'FFFG']"
1,21,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,42,0,1.0,0.860513950810667,"['SFHH', 'FFFH', 'FHFF', 'HFHG']"
1,84,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,56,0,1.0,0.8683052775100066,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HHHF', 'HFHG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,97,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,98,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'HFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9138075656044898,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,47,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFH', 'HHFG']"
1,19,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FFFF', 'HHHG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,17,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'FFFG']"
1,86,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,33,0,1.0,0.9193151828650342,"['SFFH', 'FFFF', 'HFHF', 'FFHG']"
1,30,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHFG']"
1,42,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HHFG']"
1,21,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'FHFF', 'HHHG']"
1,11,0,1.0,0.9165572373164391,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,31,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'FFFF', 'HFHG']"
1,97,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,32,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,64,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FHHG']"
