Temperature,Simulations,Return,Discounted Return,Map
1,73,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,50,0,1.0,0.9559328248389055,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,77,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,77,0,1.0,0.9588092525966956,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,87,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'FHFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'FFFG']"
1,36,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,96,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FHHF', 'FFFG']"
1,12,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHF', 'FFFG']"
1,88,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,26,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,60,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFHF', 'FFHG']"
1,64,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HFFF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,77,0,1.0,0.9110661429076764,"['SFHH', 'HFHF', 'HFFF', 'HFHG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9616943356035061,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,43,0,1.0,0.9502058312852957,"['SHFF', 'FFFH', 'FFFH', 'FHFG']"
