Temperature,Simulations,Return,Discounted Return,Map
1,52,0,1.0,0.9220814271464737,"['SFFH', 'HHFF', 'HHFF', 'FFHG']"
1,59,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,93,0,1.0,0.8400771692771434,"['SHFH', 'FFFF', 'FHHF', 'HFHG']"
1,90,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FHFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,21,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,55,0,1.0,0.8250687380258053,"['SHFH', 'FHHF', 'FFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFH', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,59,0,1.0,0.9791880578299021,"['SFHH', 'FHFF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9473552137914398,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,68,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,26,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,99,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'HHFH', 'FHFG']"
1,84,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'HHFG']"
1,27,0,1.0,0.8761671489944468,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HFHG']"
1,17,0,0.0,0.0,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,75,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,65,0,1.0,0.8657003616774767,"['SHFH', 'FFHF', 'FFFF', 'HFHG']"
1,64,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,49,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,93,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHFH', 'FFFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HHHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FFHG']"
1,70,0,1.0,0.9083329444789534,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,42,0,1.0,0.9416796087056153,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,61,0,1.0,0.7910835400474212,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,92,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,20,0,1.0,0.8078974551636565,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.93603800616986,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'FHFG']"
1,59,0,1.0,0.9645880999032158,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,85,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,12,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,41,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
