Temperature,Simulations,Return,Discounted Return,Map
1,44,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,89,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFH', 'FFFG']"
1,81,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'FFFF', 'HHHG']"
1,82,0,1.0,0.8152123778407558,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,30,0,1.0,0.8814479033836181,"['SFFF', 'HFHF', 'FHHF', 'FFFG']"
1,85,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,71,0,1.0,0.8867604854519608,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,55,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'FFFF', 'FHHG']"
1,54,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'HFFF', 'FFFG']"
1,41,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,27,0,1.0,0.835044266956004,"['SFHF', 'HFFH', 'HFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HHFG']"
1,39,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,18,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHFF', 'FFFG']"
1,86,0,1.0,0.9530650263643888,"['SFFF', 'HFFH', 'HFFF', 'FHHG']"
1,45,0,1.0,0.837556937769312,"['SHFF', 'FFFF', 'FHHF', 'FFHG']"
1,96,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,35,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,78,0,1.0,0.8921050870283477,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
