Temperature,Simulations,Return,Discounted Return,Map
1,43,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFHF', 'FFFG']"
1,70,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHF', 'HFFG']"
1,64,0,1.0,0.9445131481500655,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,56,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HHFF', 'HHFG']"
1,12,0,1.0,0.9276389118674717,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,98,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,43,0,1.0,0.9220814271464737,"['SFHF', 'FFFF', 'HHHF', 'FFHG']"
1,65,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,13,0,1.0,0.90289112180858,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,34,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,69,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,62,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'FFFF', 'FHFG']"
1,66,0,1.0,0.8400771692771434,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,97,0,1.0,0.9165572373164391,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,15,0,0.0,0.0,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFHF', 'HFFG']"
1,15,0,1.0,0.7607805594527743,"['SFFH', 'FHFF', 'HFFF', 'FHHG']"
1,60,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,49,0,1.0,0.7607805594527743,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,29,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
1,53,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,53,0,1.0,0.9276389118674717,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,54,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,83,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FHFF', 'FHHG']"
1,31,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFH', 'HHFG']"
1,99,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,33,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
1,89,0,1.0,0.9304302024748964,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,41,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,53,0,1.0,0.8275513922024125,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,19,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9502058312852957,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,24,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,39,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
1,49,0,1.0,0.9674905716180701,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,55,0,1.0,0.9001824484431542,"['SFFF', 'FFHF', 'HFHH', 'HFFG']"
1,73,0,1.0,0.9559328248389055,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,70,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'HHHF', 'HFHG']"
1,45,0,1.0,0.985089730404757,"['SFHF', 'FHHH', 'FFFF', 'FFFG']"
1,15,0,1.0,0.9083329444789534,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'HHFG']"
1,72,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,31,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,38,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFF', 'FFFF', 'HFHG']"
1,40,0,1.0,0.9193151828650342,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,49,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,24,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
1,82,0,1.0,0.9332298921513504,"['SFHF', 'FHFF', 'FHHF', 'FFFG']"
1,6,0,1.0,0.9138075656044898,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'FFFG']"
1,81,0,1.0,0.7910835400474212,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,68,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,52,0,1.0,0.9588092525966956,"['SHHF', 'FFHH', 'FHHF', 'FFFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,67,0,1.0,0.9821344612135428,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,63,0,1.0,0.9220814271464737,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,71,0,1.0,0.9165572373164391,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,86,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,38,0,1.0,0.8553586117313603,"['SFHF', 'FFFF', 'HFHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,56,0,1.0,0.9616943356035061,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'FHFF', 'FHHG']"
1,84,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,34,0,1.0,0.90289112180858,"['SHHH', 'FFHH', 'FHFH', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,75,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
