Temperature,Simulations,Return,Discounted Return,Map
1,41,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,56,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,56,0,1.0,0.9083329444789534,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,62,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,95,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,76,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,33,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,18,0,1.0,0.8788035596734672,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,55,0,1.0,0.8921050870283477,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,73,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
1,79,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,78,0,1.0,0.9674905716180701,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,38,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,15,0,1.0,0.79346393184295,"['SFHH', 'HFHH', 'HFFF', 'FFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,61,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFF', 'HFFG']"
1,30,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,53,0,1.0,0.9193151828650342,"['SHHH', 'FFFH', 'FFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,85,0,1.0,0.9616943356035061,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9645880999032158,"['SFHF', 'FFHF', 'HFFF', 'HFFG']"
1,32,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,45,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,32,0,0.0,0.0,"['SFFH', 'FFHF', 'FHHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,61,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,75,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
