Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return
500,0.017703235149383545,0.02435114234685898,-0.04941743612289429,0.032207537442445755,16,228.0
500,-0.0038620263803750277,0.02320008911192417,0.035628098994493484,-0.02033110521733761,1,9.0
500,0.019958224147558212,0.008340244181454182,0.0317322239279747,-0.04675348103046417,8,500.0
500,-0.011435437947511673,-0.0451032929122448,-0.035080015659332275,-0.04751869663596153,16,500.0
500,-0.04012887179851532,-0.01084128487855196,0.004458961542695761,0.041227295994758606,9,337.0
500,0.011235925368964672,0.04654731601476669,0.033146098256111145,-0.04313630610704422,8,210.0
500,0.007487866096198559,0.0061258599162101746,-0.024517521262168884,-0.03488273173570633,7,500.0
500,0.045941516757011414,0.02762012556195259,-0.021675340831279755,0.031144915148615837,8,256.0
500,-0.029541170224547386,-0.017306292429566383,-0.04298947751522064,-0.04113692417740822,3,148.0
500,-0.0007446364033967257,-0.009486735798418522,0.021618414670228958,-0.0029310151003301144,9,229.0
500,0.04165768623352051,0.009513914585113525,-0.0009937086142599583,-0.04758863523602486,2,215.0
500,-0.02640637196600437,0.03842463344335556,-0.03225839138031006,0.04387395828962326,8,449.0
500,-0.005743731744587421,0.033596184104681015,-0.01691976934671402,-0.0361713245511055,14,463.0
500,-0.045032769441604614,0.04063652455806732,-0.007020867895334959,-0.026316611096262932,10,270.0
500,0.005870488006621599,-0.04796222597360611,-0.02305729128420353,-0.031174052506685257,6,257.0
500,0.031377796083688736,-0.044240012764930725,-0.022581331431865692,0.016696471720933914,1,10.0
500,-0.03684303164482117,0.049108486622571945,0.0028188067954033613,0.044415347278118134,1,9.0
500,-0.017143914476037025,0.0399022102355957,0.0034853490069508553,0.04905788600444794,9,339.0
500,0.009226660244166851,0.018806632608175278,0.025103095918893814,-0.04599958285689354,6,500.0
500,0.011542282998561859,-0.04094305261969566,-0.01074132602661848,-0.02504417672753334,3,200.0
500,-0.037389181554317474,0.03344794735312462,-0.001071276841685176,0.03171946108341217,16,307.0
500,-0.009066564962267876,0.009703302755951881,-0.02059628814458847,0.027737079188227654,7,228.0
500,-0.04036286473274231,0.021681444719433784,-0.002424425445497036,-0.0453341044485569,11,242.0
500,-0.04022406041622162,-0.04760197177529335,-0.03578056022524834,-0.015270170755684376,4,141.0
500,0.012340501882135868,-0.032323841005563736,0.027338596060872078,0.04816845431923866,1,9.0
500,-0.027553638443350792,-0.016236215829849243,-0.012710630893707275,-0.03218347206711769,6,484.0
500,0.03900252282619476,-0.027034243568778038,-0.03484192118048668,0.038992833346128464,11,353.0
500,0.0004418221942614764,0.028191542252898216,0.03063596598803997,0.02650454454123974,2,361.0
500,0.005217048339545727,0.03643367812037468,0.018135545775294304,-0.04525380581617355,13,500.0
500,-0.01271752454340458,0.042934395372867584,-0.02612965926527977,0.012120062485337257,5,311.0
500,-0.04268786683678627,-0.016473157331347466,0.030194217339158058,0.03451799973845482,9,500.0
500,-0.04248954728245735,0.01809769868850708,0.02820282056927681,0.01660243049263954,9,253.0
500,-0.04018646851181984,-0.002352373907342553,-0.038564883172512054,-0.03288084268569946,14,332.0
500,-0.013536781072616577,0.024801356717944145,-0.043708838522434235,-0.005991572048515081,9,288.0
500,-0.016061685979366302,-0.04340648651123047,-0.0002379507350269705,0.03163401037454605,8,500.0
500,0.04089237004518509,-0.04109593480825424,-0.03872038051486015,0.0005974674713797867,7,187.0
500,0.048755113035440445,0.048116445541381836,0.032486025243997574,-0.004718821030110121,1,9.0
500,-0.025415271520614624,0.03931969404220581,0.012727873399853706,0.0029930726159363985,1,9.0
500,0.029811419546604156,0.010004873387515545,-0.017980732023715973,0.01797848753631115,7,134.0
500,-0.021291034296154976,-0.003537008073180914,0.0028245653957128525,-0.03938351571559906,14,500.0
500,0.03331878036260605,0.01889970153570175,-0.004464544355869293,-0.003676746040582657,5,485.0
500,0.013796018436551094,-0.025286603718996048,-0.014635417610406876,-0.019456610083580017,9,260.0
500,0.016765881329774857,0.00894121453166008,-0.0023109845351427794,0.022792944684624672,8,498.0
500,-0.047672517597675323,-0.0359262116253376,0.01642671599984169,0.04424222186207771,11,157.0
500,-0.020765505731105804,-0.005816585849970579,-0.019634876400232315,0.013951513916254044,15,500.0
500,0.03851018846035004,-0.03164688125252724,0.037172526121139526,-0.023613179102540016,4,437.0
500,0.03071421943604946,-0.031479619443416595,-0.029922133311629295,-0.038556862622499466,11,173.0
500,-0.04573766887187958,0.000989629770629108,-0.03725539520382881,-0.0027061321306973696,4,203.0
500,0.016441820189356804,-0.039106037467718124,-0.005335777532309294,0.017544129863381386,11,229.0
500,-0.02273710072040558,-0.04223210737109184,0.03694358468055725,-0.0010997826466336846,14,500.0
500,0.016646532341837883,-0.014292141422629356,-0.027272379025816917,-0.029177939519286156,10,346.0
500,-0.014998174272477627,-0.04615582898259163,-0.02206573635339737,0.016191935166716576,2,265.0
500,-0.010857123881578445,-0.0177796371281147,-0.024494392797350883,0.04891112446784973,1,10.0
500,0.037376612424850464,0.027307499200105667,-0.02841101586818695,0.029873423278331757,3,201.0
500,0.04215420410037041,-0.009601280093193054,-0.011222166009247303,0.02045762725174427,3,224.0
500,-0.045548710972070694,0.03549034893512726,-0.046126559376716614,-0.03325460106134415,1,11.0
500,0.03752279281616211,0.040106598287820816,-0.03325971961021423,-0.043841030448675156,3,289.0
500,-0.011946196667850018,-0.043060317635536194,0.015935206785798073,0.045285724103450775,1,9.0
500,0.04668523743748665,0.04660596698522568,0.007763860747218132,-0.010266085155308247,6,500.0
500,-0.030010990798473358,-0.015153240412473679,-0.004717431031167507,0.04180483892560005,16,276.0
500,-0.0057677351869642735,-0.030711747705936432,0.035838861018419266,-0.0059388563968241215,6,469.0
500,-0.037177298218011856,0.008912542834877968,-0.0252687968313694,0.04206416383385658,11,221.0
500,0.006613256875425577,0.013651691377162933,-0.010035899467766285,0.038758788257837296,10,208.0
500,0.04201524332165718,-0.045062579214572906,-0.04123198986053467,0.01402350328862667,7,377.0
500,-0.043344493955373764,-0.027886539697647095,0.023478949442505836,0.021545499563217163,13,500.0
500,-0.026958443224430084,-0.024224495515227318,0.02227018214762211,0.0006154821021482348,3,500.0
500,0.039029281586408615,-0.04893612861633301,-0.013020005077123642,-0.005956100299954414,6,500.0
