Temperature,Simulations,Return,Discounted Return,Map
1,34,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,28,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'FFFG']"
1,85,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,13,0,1.0,0.93603800616986,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,87,0,1.0,0.9056079456455165,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,86,0,1.0,0.8974819010978248,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,72,0,1.0,0.90289112180858,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,59,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,79,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FHHG']"
1,61,0,1.0,0.9276389118674717,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFHF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,32,0,1.0,0.9304302024748964,"['SFFH', 'HHFF', 'FFFF', 'HFHG']"
1,63,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,96,0,1.0,0.7958514863018556,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,98,0,1.0,0.9530650263643888,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,45,0,1.0,0.8788035596734672,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,70,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,17,0,1.0,0.9388545698794984,"['SFFH', 'HFFF', 'HFFH', 'FFFG']"
1,91,0,1.0,0.9445131481500655,"['SHFH', 'FFHH', 'FHHH', 'FFFG']"
1,84,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'HFFG']"
1,86,0,1.0,0.8894287717672626,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,60,0,1.0,0.8761671489944468,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.8400771692771434,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,53,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,54,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFHF', 'FFFG']"
1,47,0,1.0,0.9559328248389055,"['SFFH', 'FFHF', 'HFFF', 'HHFG']"
1,39,0,1.0,0.8974819010978248,"['SFFH', 'HHFF', 'FHHF', 'HHHG']"
1,50,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,93,0,1.0,0.9616943356035061,"['SHFH', 'FFHF', 'FFFF', 'FHHG']"
1,63,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFF', 'FFFG']"
1,94,0,1.0,0.8894287717672626,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,40,0,1.0,0.9220814271464737,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,49,0,1.0,0.9473552137914398,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,67,0,1.0,0.8683052775100066,"['SHFF', 'FFHH', 'FFFH', 'FHFG']"
1,19,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,70,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,81,0,1.0,0.8250687380258053,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,46,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFHG']"
1,23,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,66,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFFF', 'FHHG']"
1,69,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,32,0,1.0,0.8761671489944468,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FFHG']"
1,84,0,1.0,0.9445131481500655,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,57,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FFFF', 'FHFG']"
1,47,0,1.0,0.9445131481500655,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,56,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,51,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HFFH', 'FFFG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,50,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HHFF', 'FHFG']"
1,81,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,99,0,1.0,0.9220814271464737,"['SFHH', 'FFHF', 'HFHF', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'FFHG']"
1,60,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,56,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,46,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,98,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,91,0,1.0,0.9791880578299021,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,80,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,27,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,28,0,1.0,0.767668872977057,"['SFFH', 'FHFF', 'HFHF', 'FFHG']"
1,20,0,1.0,0.747188804859888,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,60,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,48,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'FHHF', 'FFHG']"
1,14,0,1.0,0.7653658663581259,"['SFFH', 'HHFF', 'FHHF', 'FHFG']"
1,22,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'HHFG']"
1,13,0,1.0,0.860513950810667,"['SFFF', 'HHHF', 'FHHF', 'FHFG']"
1,66,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,61,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,44,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,29,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FFFH', 'HHFG']"
1,77,0,1.0,0.8426049842298329,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,4,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,36,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'HFFF', 'FFHG']"
1,19,0,1.0,0.8947894553945313,"['SFFF', 'HFFF', 'FFFH', 'HHFG']"
1,51,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FHFG']"
1,60,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,65,0,1.0,0.9616943356035061,"['SHFF', 'FHFH', 'FHHF', 'FFFG']"
1,94,0,1.0,0.9616943356035061,"['SHFH', 'FFFH', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHFF', 'FHFG']"
1,50,0,1.0,0.90289112180858,"['SHFH', 'FFHH', 'HFFF', 'FHFG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FHFF', 'FFFG']"
1,44,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'FHFG']"
1,92,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'FHHF', 'FHHG']"
1,65,0,1.0,0.985089730404757,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,49,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,45,0,1.0,0.985089730404757,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,15,0,1.0,0.8127667407072335,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,98,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FFFH', 'FHHF', 'FFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,76,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,13,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,76,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,39,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFFF', 'FFFG']"
1,27,0,1.0,0.9110661429076764,"['SHHH', 'FFHH', 'FHHF', 'FFFG']"
1,38,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,59,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,27,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HHFH', 'HHFG']"
1,30,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,73,0,1.0,0.9502058312852957,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,81,0,1.0,0.7516921927868743,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,29,0,1.0,0.8761671489944468,"['SFFH', 'HFHF', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,30,0,1.0,0.9445131481500655,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,99,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,22,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'HFFF', 'HHHG']"
1,60,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'HFHF', 'HHFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HHFG']"
1,47,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFH', 'HHFG']"
1,49,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'FFHF', 'FFFG']"
1,39,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,16,0,1.0,0.8894287717672626,"['SFFH', 'FFHF', 'FHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFF', 'HFFG']"
1,96,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FHFF', 'FHFG']"
1,18,0,1.0,0.837556937769312,"['SFFF', 'FHHF', 'FFFF', 'HFHG']"
1,27,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,100,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,95,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,41,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'HFHH', 'HFFG']"
1,32,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,76,0,1.0,0.9674905716180701,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,100,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,34,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'FFHH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,78,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,66,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,93,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHH', 'HFFG']"
1,16,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFHF', 'HHFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,28,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
1,55,0,1.0,0.8400771692771434,"['SHHF', 'FFFH', 'FHFF', 'HHFG']"
