Temperature,Simulations,Return,Discounted Return,Map
1,74,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,85,0,1.0,0.8761671489944468,"['SFHF', 'HFHH', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,79,0,1.0,0.7494371162085136,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,85,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FFFG']"
1,77,0,1.0,0.860513950810667,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,43,0,1.0,0.8894287717672626,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,37,0,1.0,0.9416796087056153,"['SFHF', 'FHHH', 'FHFF', 'FFFG']"
1,75,0,1.0,0.9645880999032158,"['SFFH', 'HFHF', 'HFFH', 'HFFG']"
1,88,0,1.0,0.9502058312852957,"['SFHF', 'FFFH', 'HHFF', 'HHHG']"
1,60,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FFFF', 'HHFG']"
1,14,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHH', 'HFFG']"
1,74,0,1.0,0.9502058312852957,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,93,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'HFHF', 'FFFG']"
1,90,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFHF', 'HHHG']"
1,76,0,1.0,0.8176653739626438,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,41,0,1.0,0.9388545698794984,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,18,0,1.0,0.8451404054461714,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,39,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,33,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HHFF', 'HFHG']"
1,62,0,1.0,0.9733217421754432,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,80,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,76,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HFHG']"
1,63,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HFHF', 'HHHG']"
1,71,0,1.0,0.9276389118674717,"['SFHF', 'HFFH', 'FHFF', 'HFFG']"
1,71,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,44,0,1.0,0.9674905716180701,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,32,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,19,0,1.0,0.857932408958235,"['SFFF', 'HFHF', 'HHHF', 'FHHG']"
1,86,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,66,0,1.0,0.9248559951318693,"['SFHH', 'HFHF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'HHFF', 'HFFG']"
1,25,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFFF', 'HHHF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,60,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,56,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HFHG']"
1,33,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,65,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'HFFF', 'HHHG']"
1,80,0,1.0,0.9559328248389055,"['SHHH', 'FHFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9248559951318693,"['SFHF', 'HFFH', 'FHFH', 'HFFG']"
1,89,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFHH', 'FFFG']"
1,83,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFHH', 'FFFG']"
1,50,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,52,0,1.0,0.9416796087056153,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,47,0,1.0,0.9502058312852957,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,9,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFFF', 'HHFG']"
1,95,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
