Temperature,Simulations,Return,Discounted Return,Map
1,94,0,1.0,0.9674905716180701,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,86,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,65,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,42,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,34,0,1.0,0.9001824484431542,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,74,0,1.0,0.9616943356035061,"['SHFF', 'FFHF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9001824484431542,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'FHHG']"
1,68,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'HFHH', 'FFFG']"
1,27,0,1.0,0.9416796087056153,"['SFHH', 'FHHH', 'FFHF', 'FFFG']"
1,31,0,1.0,0.9083329444789534,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,44,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,62,0,1.0,0.9056079456455165,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FFHG']"
1,22,0,1.0,0.860513950810667,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,54,0,1.0,0.9110661429076764,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,49,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'HFFF', 'FHHG']"
1,23,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,98,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'HFFG']"
1,25,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'FHFG']"
1,28,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HHHG']"
1,18,0,1.0,0.7427123967299725,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,73,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,23,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,21,0,1.0,0.8947894553945313,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,36,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'FFFG']"
1,74,0,1.0,0.8103284404851119,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,5,0,1.0,0.7607805594527743,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,73,0,1.0,0.8921050870283477,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,83,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'HHHF', 'FHFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,75,0,1.0,0.9276389118674717,"['SFFF', 'HFHH', 'HFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFFF', 'FHHF', 'HFFG']"
1,30,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,49,0,1.0,0.9304302024748964,"['SFFF', 'FFHF', 'HHFF', 'FFFG']"
1,91,0,1.0,0.9645880999032158,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,22,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9332298921513504,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
1,28,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,100,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,63,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,46,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,9,0,1.0,0.9193151828650342,"['SFFF', 'HFHF', 'FHFF', 'FFFG']"
1,50,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,23,0,1.0,0.8553586117313603,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,94,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.8709180316048211,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,26,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,23,0,1.0,0.9674905716180701,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,41,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,14,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'HHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFH', 'FHFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,99,0,1.0,0.9110661429076764,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
