Temperature,Simulations,Return,Discounted Return,Map
1,23,0,1.0,0.8426049842298329,"['SFFH', 'FHHF', 'FHHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,47,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,96,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'FFFF', 'HHHG']"
1,65,0,1.0,0.8867604854519608,"['SHFH', 'FFFF', 'FHFH', 'FHFG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,44,0,1.0,0.7910835400474212,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'HHFG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,60,0,1.0,0.8103284404851119,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,24,0,1.0,0.9056079456455165,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
1,95,0,1.0,0.9248559951318693,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,62,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFHH', 'FFHH', 'HFFF', 'HHHG']"
1,90,0,1.0,0.9445131481500655,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,20,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,20,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,99,0,1.0,0.9304302024748964,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,70,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HFHG']"
1,3,0,1.0,0.8709180316048211,"['SFFF', 'HHHF', 'FFFF', 'HHFG']"
1,22,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,58,0,1.0,0.9645880999032158,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.884100203995605,"['SFHH', 'HFFH', 'HFHH', 'HFFG']"
1,48,0,1.0,0.9276389118674717,"['SHHF', 'FHFH', 'FFHF', 'HFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,25,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'FFFG']"
1,94,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,79,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,25,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HHFG']"
1,48,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHFF', 'HHFG']"
1,69,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHHF', 'FHFG']"
1,29,0,1.0,0.7910835400474212,"['SFFF', 'HHFH', 'FHFH', 'FHFG']"
