Temperature,Simulations,Return,Discounted Return,Map
1,52,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'FHFF', 'HFHG']"
1,68,0,1.0,0.9445131481500655,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,80,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,29,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HHHG']"
1,16,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,29,0,1.0,0.9304302024748964,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,47,0,0.0,0.0,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,39,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFFH', 'FFFG']"
1,69,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,48,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,72,0,1.0,0.8275513922024125,"['SFFF', 'FFHF', 'FHHH', 'FFFG']"
1,15,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,31,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,91,0,1.0,0.8631032605924442,"['SHFH', 'FFFF', 'FHFH', 'HHFG']"
1,76,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,58,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'FFHH', 'FFFG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,28,0,1.0,0.7910835400474212,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,88,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,37,0,0.0,0.0,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,24,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,87,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'FHFF', 'HHHG']"
1,77,0,1.0,0.9138075656044898,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,52,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HFHH', 'HFFG']"
1,52,0,1.0,0.8325391341551359,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,32,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,45,0,1.0,0.9645880999032158,"['SHFH', 'FHFH', 'FFFF', 'HHFG']"
1,61,0,1.0,0.9304302024748964,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,31,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,44,0,1.0,0.8867604854519608,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,60,0,1.0,0.9616943356035061,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,90,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFH', 'HHFG']"
1,3,0,1.0,0.884100203995605,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,98,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFF', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,40,0,1.0,0.9165572373164391,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,70,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FHFF', 'FFFG']"
1,88,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,38,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,96,0,1.0,0.9445131481500655,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,42,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'HFFF', 'HHFG']"
1,66,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
