Temperature,Simulations,Return,Discounted Return,Map
1,59,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,82,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,60,0,1.0,0.884100203995605,"['SFHH', 'FFHH', 'HFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HFHG']"
1,88,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FFFH', 'FFFG']"
1,59,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHFF', 'FHFG']"
1,29,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFHF', 'HHHG']"
1,62,0,1.0,0.9304302024748964,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,52,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,54,0,1.0,0.835044266956004,"['SFHF', 'HFHF', 'FFFF', 'FHHG']"
1,53,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFF', 'FFFG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,99,0,1.0,0.8894287717672626,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,78,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,48,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,31,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,22,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,66,0,1.0,0.9791880578299021,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,29,0,1.0,0.9220814271464737,"['SFFF', 'FFHH', 'HFFF', 'FHHG']"
1,88,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,55,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,41,0,1.0,0.8761671489944468,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,79,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HFFF', 'HFFG']"
1,15,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHF', 'FHFG']"
1,34,0,1.0,0.7887102894272789,"['SFFH', 'HFHF', 'FFFF', 'HHFG']"
1,55,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HFFH', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'HHHG']"
1,97,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FHFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,15,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,60,0,1.0,0.78398512608332,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,35,0,1.0,0.9674905716180701,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,53,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,8,0,1.0,0.90289112180858,"['SFFF', 'FHHF', 'FHFF', 'FHFG']"
1,37,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HHFF', 'FFHG']"
1,35,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,15,0,1.0,0.835044266956004,"['SFFH', 'HHFH', 'FHFF', 'HFFG']"
1,15,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'FHFF', 'HHFG']"
1,99,0,1.0,0.9616943356035061,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,34,0,0.0,0.0,"['SFFF', 'FFHH', 'FHHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,14,0,0.0,0.0,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,32,0,1.0,0.8867604854519608,"['SFHH', 'FFFF', 'HFHH', 'HFFG']"
1,7,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,82,0,1.0,0.8006481694852418,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,38,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,69,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,33,0,1.0,0.8250687380258053,"['SFHF', 'FHHF', 'FHHH', 'FFFG']"
1,47,0,1.0,0.985089730404757,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,99,0,1.0,0.8921050870283477,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,79,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,39,0,1.0,0.8103284404851119,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,81,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FFHG']"
1,94,0,1.0,0.7722956964947572,"['SHHH', 'FFFH', 'FHFH', 'HFFG']"
1,47,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,58,0,1.0,0.884100203995605,"['SFFH', 'FHFH', 'FHFH', 'FHFG']"
1,81,0,1.0,0.93603800616986,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,32,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,59,0,1.0,0.9138075656044898,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,91,0,1.0,0.9165572373164391,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,47,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'HFFF', 'HFFG']"
1,31,0,1.0,0.8974819010978248,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,37,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
1,25,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,15,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,28,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,48,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9616943356035061,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,97,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HHFF', 'FFFG']"
1,11,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,28,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,81,0,1.0,0.9276389118674717,"['SHHH', 'FFFH', 'FHFF', 'HHFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
