Temperature,Simulations,Return,Discounted Return,Map
1,43,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'FHFF', 'HFFG']"
1,8,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,100,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,74,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'HHFF', 'HHFG']"
1,39,0,1.0,0.8300415167526705,"['SFHH', 'HFFH', 'HFFH', 'FHFG']"
1,32,0,1.0,0.8735386475474635,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9473552137914398,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,45,0,1.0,0.8476834558136123,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,77,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,53,0,1.0,0.884100203995605,"['SFFF', 'FFFH', 'FFHH', 'HFFG']"
1,26,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHHG']"
1,23,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,65,0,1.0,0.9165572373164391,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,57,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HHHF', 'HFFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,23,0,1.0,0.8947894553945313,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,27,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHFF', 'FFFG']"
1,23,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FHFF', 'HHHG']"
1,94,0,1.0,0.8078974551636565,"['SFHH', 'FFFH', 'HHFH', 'FFFG']"
1,99,0,1.0,0.7607805594527743,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,18,0,1.0,0.9304302024748964,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,86,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,4,0,1.0,0.7516921927868743,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
1,48,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,50,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,24,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,55,0,1.0,0.8250687380258053,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,87,0,1.0,0.9416796087056153,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9248559951318693,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,95,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,72,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHHF', 'FHHG']"
1,24,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FFFH', 'FFFG']"
1,3,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHFG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,53,0,1.0,0.9165572373164391,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,9,0,1.0,0.835044266956004,"['SFFH', 'FHFF', 'HFFF', 'HHHG']"
1,51,0,1.0,0.8761671489944468,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,94,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,35,0,1.0,0.8300415167526705,"['SFHF', 'HFHF', 'HFFF', 'FHFG']"
1,38,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFH', 'FHFG']"
1,24,0,1.0,0.8683052775100066,"['SHFF', 'FFHF', 'HFFF', 'FFFG']"
1,69,0,1.0,0.8867604854519608,"['SHFF', 'FHHH', 'FFFH', 'HFFG']"
1,92,0,1.0,0.9248559951318693,"['SHHF', 'FFFH', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,74,0,1.0,0.798246224976786,"['SHFH', 'FHHH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.7792882711929549,"['SFFH', 'FHHF', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'FHHG']"
1,97,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FFHF', 'FFFG']"
1,77,0,1.0,0.9193151828650342,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,34,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'HFFF', 'HHHG']"
1,68,0,1.0,0.9616943356035061,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,78,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'HFFH', 'FFFG']"
1,100,0,1.0,0.8974819010978248,"['SFHF', 'HFHH', 'HFHF', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,92,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HFHH', 'HFFG']"
1,73,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'FHHH', 'FHHH', 'FFFG']"
