Temperature,Simulations,Return,Discounted Return,Map
1,90,0,1.0,0.9304302024748964,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,82,0,1.0,0.9791880578299021,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'HHFG']"
1,13,0,1.0,0.9165572373164391,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,28,0,0.0,0.0,"['SFHF', 'FFHH', 'HFHH', 'FFFG']"
1,51,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HHFF', 'HFFG']"
1,89,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,51,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,16,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,94,0,1.0,0.9193151828650342,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,94,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FHFF', 'HFFG']"
1,58,0,1.0,0.9332298921513504,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,91,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HFFF', 'FHFG']"
1,34,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,12,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,59,0,1.0,0.9165572373164391,"['SHHF', 'FFFH', 'FFFF', 'FFHG']"
1,65,0,1.0,0.857932408958235,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,36,0,1.0,0.9001824484431542,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'HHHF', 'FHFG']"
1,49,0,1.0,0.7863441585589971,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFHF', 'HHHG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FFFG']"
1,84,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,44,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFFF', 'FHHG']"
1,80,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,100,0,1.0,0.9588092525966956,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,93,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHH', 'FFFG']"
1,87,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFHF', 'HFHG']"
