Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.9559328248389055,"['SHFF', 'FFHF', 'FHHF', 'FFFG']"
1,13,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9616943356035061,"['SHHF', 'FFFF', 'FFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFH', 'FHFG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,23,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,29,0,1.0,0.9220814271464737,"['SFFF', 'HHFF', 'HFHF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'FFFG']"
1,56,0,1.0,0.8735386475474635,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,68,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,80,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,16,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FFFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,43,0,1.0,0.7516921927868743,"['SHFH', 'FFFH', 'HFFF', 'FHHG']"
1,47,0,1.0,0.8451404054461714,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,50,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,21,0,1.0,0.884100203995605,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,28,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,33,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,90,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,97,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,52,0,1.0,0.9791880578299021,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,52,0,1.0,0.8814479033836181,"['SFHH', 'FFHH', 'HFHF', 'HFFG']"
1,44,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'HFFF', 'HFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,50,0,1.0,0.9791880578299021,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,18,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHHG']"
1,62,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,56,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FFHF', 'HFHG']"
1,47,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,48,0,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,72,0,1.0,0.8894287717672626,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,52,0,1.0,0.8683052775100066,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,55,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HFFG']"
1,42,0,1.0,0.90289112180858,"['SFFH', 'HFFH', 'FFHF', 'HFFG']"
1,55,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FHHF', 'FHHG']"
1,86,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'HHFG']"
1,25,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
