Temperature,Simulations,Return,Discounted Return,Map
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,82,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,81,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHHG']"
1,100,0,1.0,0.7607805594527743,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,93,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,87,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,67,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,33,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,89,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,81,0,1.0,0.9674905716180701,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,62,0,1.0,0.9445131481500655,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,91,0,1.0,0.9791880578299021,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HFFG']"
1,7,0,1.0,0.9304302024748964,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,62,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,52,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'HFFH', 'HFFG']"
1,36,0,1.0,0.8761671489944468,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,35,0,1.0,0.93603800616986,"['SFFH', 'FHHH', 'FHHF', 'FFFG']"
1,32,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,87,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,67,0,1.0,0.8426049842298329,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,76,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'FHFF', 'HFHG']"
1,61,0,1.0,0.90289112180858,"['SHHH', 'FFHF', 'HFHH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,67,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
1,57,0,1.0,0.9138075656044898,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9138075656044898,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,72,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,13,0,1.0,0.8974819010978248,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,32,0,1.0,0.8451404054461714,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,75,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,62,0,1.0,0.9193151828650342,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,79,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,38,0,1.0,0.9110661429076764,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,41,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,69,0,1.0,0.9616943356035061,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,58,0,1.0,0.9674905716180701,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,71,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'HFHG']"
1,30,0,1.0,0.8921050870283477,"['SFFH', 'HHFF', 'HHFF', 'FFHG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,85,0,1.0,0.884100203995605,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
