Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9138075656044898,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHHG']"
1,86,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,40,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HHFF', 'HHFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,81,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,24,0,1.0,0.9276389118674717,"['SFHF', 'HFHH', 'FFFH', 'FFFG']"
1,55,0,1.0,0.8054737627981655,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,47,0,1.0,0.9704017769489168,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,44,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'FHFG']"
1,94,0,1.0,0.90289112180858,"['SFHF', 'FFFF', 'HHHF', 'HFFG']"
1,65,0,1.0,0.9559328248389055,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,10,0,1.0,0.8201257512162927,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FHHG']"
1,77,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHF', 'HFFG']"
1,24,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'HHFG']"
1,55,0,1.0,0.9416796087056153,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.8974819010978248,"['SFHH', 'FHFH', 'FFFH', 'FHFG']"
1,100,0,1.0,0.985089730404757,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,81,0,1.0,0.8553586117313603,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,98,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'HHFG']"
1,38,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,12,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,47,0,1.0,0.9445131481500655,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,75,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,44,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,88,0,1.0,0.9588092525966956,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,92,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'HHFF', 'FFHG']"
1,70,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.8476834558136123,"['SFHF', 'FHHH', 'FFFF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,32,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FHFG']"
1,24,0,1.0,0.8735386475474635,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFHG']"
1,78,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,41,0,1.0,0.9821344612135428,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,10,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HHFF', 'FFHG']"
1,16,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HHFG']"
1,83,0,1.0,0.9304302024748964,"['SHHH', 'FFHF', 'HFHF', 'FFFG']"
1,87,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FHFG']"
1,91,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,92,0,1.0,0.8709180316048211,"['SFHF', 'HFFF', 'HHHF', 'HFHG']"
1,36,0,1.0,0.8814479033836181,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,48,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FHFH', 'FFFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,93,0,1.0,0.7746195551602378,"['SHFF', 'FHHH', 'FFFF', 'FHHG']"
1,100,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,53,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHF', 'HFFG']"
