Temperature,Simulations,Return,Discounted Return,Map
1,89,0,1.0,0.9473552137914398,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,52,0,1.0,0.8788035596734672,"['SFHH', 'HFFF', 'FFHF', 'FHFG']"
1,56,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'FHFG']"
1,76,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HHFG']"
1,25,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHHG']"
1,11,0,1.0,0.7792882711929549,"['SFFF', 'HFFH', 'HFFF', 'HFHG']"
1,65,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,71,0,1.0,0.9220814271464737,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,23,0,0.0,0.0,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,58,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,10,0,1.0,0.857932408958235,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,22,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,63,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,25,0,1.0,0.8476834558136123,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FFHG']"
1,74,0,1.0,0.9332298921513504,"['SHFF', 'FHFF', 'FFFF', 'HFHG']"
1,27,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,93,0,1.0,0.9762504936564125,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,89,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,22,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,36,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFH', 'FFFG']"
1,85,0,1.0,0.9791880578299021,"['SHHH', 'FFHF', 'HFFF', 'HHHG']"
1,25,0,1.0,0.884100203995605,"['SFFH', 'FFFH', 'HHFF', 'HFHG']"
1,78,0,1.0,0.9762504936564125,"['SFHH', 'FHFH', 'FHFF', 'FFFG']"
1,58,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,77,0,1.0,0.9762504936564125,"['SHFH', 'FHHH', 'FHFF', 'FFFG']"
1,81,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,82,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,68,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,45,0,1.0,0.8867604854519608,"['SHFH', 'FHHF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9332298921513504,"['SFFH', 'FFHF', 'FHHF', 'FFFG']"
1,55,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,19,0,1.0,0.8176653739626438,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,56,0,1.0,0.857932408958235,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,39,0,1.0,0.9416796087056153,"['SFFF', 'FFHF', 'FFHF', 'HFHG']"
1,83,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,20,0,1.0,0.8788035596734672,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,28,0,1.0,0.7887102894272789,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,37,0,1.0,0.7699788094052729,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHFG']"
1,71,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,68,0,1.0,0.9733217421754432,"['SFHF', 'FFHF', 'FFFF', 'HFFG']"
1,50,0,1.0,0.9056079456455165,"['SFHF', 'HFHF', 'FFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,92,0,1.0,0.9645880999032158,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,31,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,51,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,49,0,1.0,0.8735386475474635,"['SHHF', 'FHFH', 'FFHF', 'HFFG']"
1,59,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,35,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,72,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HFFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9674905716180701,"['SFFH', 'FHFH', 'FHFF', 'HFHG']"
1,78,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
