Temperature,Simulations,Return,Discounted Return,Map
1,19,0,1.0,0.9056079456455165,"['SFFF', 'HHFH', 'FHFF', 'FHFG']"
1,15,0,1.0,0.9248559951318693,"['SFFF', 'FFHF', 'HFFF', 'FFHG']"
1,41,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'HHFG']"
1,74,0,1.0,0.9056079456455165,"['SHFF', 'FFFF', 'HHHF', 'FHHG']"
1,36,0,1.0,0.9821344612135428,"['SHHH', 'FHFH', 'FFFH', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,56,0,1.0,0.8814479033836181,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFHG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,78,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,54,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,36,0,1.0,0.8127667407072335,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFH', 'FFFG']"
1,18,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,30,0,0.0,0.0,"['SHFF', 'FHHF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.7816331707050701,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,17,0,1.0,0.8553586117313603,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,24,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,29,0,1.0,0.9304302024748964,"['SHFF', 'FHHH', 'FFFF', 'FFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HFFG']"
1,85,0,1.0,0.93603800616986,"['SFFF', 'FFHH', 'HFFF', 'HFHG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFH', 'FFFG']"
1,86,0,1.0,0.884100203995605,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,17,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,39,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,90,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FHFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,52,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,46,0,1.0,0.835044266956004,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,45,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,80,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'HFFH', 'FFFG']"
1,89,0,1.0,0.860513950810667,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,33,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'FFHG']"
1,61,0,1.0,0.857932408958235,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,97,0,1.0,0.9645880999032158,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,77,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,34,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,68,0,1.0,0.860513950810667,"['SFFH', 'HHFH', 'HHFH', 'FFFG']"
1,95,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHHG']"
1,55,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HFHF', 'FHFG']"
1,48,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,40,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,86,0,1.0,0.9332298921513504,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,45,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,49,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FHHG']"
1,29,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,50,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'HFFG']"
1,7,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,51,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,72,0,1.0,0.9416796087056153,"['SFHF', 'HFFH', 'FFFF', 'HFHG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,31,0,0.0,0.0,"['SFFH', 'FFFF', 'HHFH', 'FHFG']"
1,88,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHFF', 'FHFG']"
1,97,0,1.0,0.9559328248389055,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFFF', 'FFHF', 'FFFH', 'FFFG']"
1,98,0,1.0,0.90289112180858,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,13,0,1.0,0.8078974551636565,"['SFHH', 'HFHH', 'HFFH', 'FFFG']"
1,70,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FFFH', 'HHFG']"
1,76,0,1.0,0.8814479033836181,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
