Temperature,Simulations,Return,Discounted Return,Map
1,3,0,0.0,0.0,"['SHFH', 'FHHH', 'FHHF', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,52,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FHFG']"
1,12,0,1.0,0.8553586117313603,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,12,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFH', 'FFFG']"
1,91,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'HFHG']"
1,59,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'HHFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,57,0,1.0,0.9704017769489168,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,100,0,1.0,0.9559328248389055,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'HFFG']"
1,16,0,1.0,0.8476834558136123,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.78398512608332,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,83,0,1.0,0.8631032605924442,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,41,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,72,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,72,0,1.0,0.9083329444789534,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,40,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,84,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,35,0,1.0,0.884100203995605,"['SFHH', 'HFFH', 'HHFF', 'HHFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FFHH', 'FFFG']"
1,42,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'FHHF', 'HHHG']"
1,58,0,1.0,0.9165572373164391,"['SFHH', 'FFFF', 'FHFF', 'FHHG']"
1,31,0,1.0,0.7958514863018556,"['SHHF', 'FHFH', 'FFHH', 'HFFG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,26,0,1.0,0.9332298921513504,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,23,0,1.0,0.9416796087056153,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,72,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,35,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FHHH', 'FFFG']"
1,60,0,1.0,0.9165572373164391,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,50,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,87,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,99,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,89,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,49,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,35,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'FFFH', 'FHFG']"
1,57,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'HHFF', 'HHHG']"
